metric,system,split_slice,score
MAE,ml,overall,2.0599
RMSE,ml,overall,3.5901
R2,ml,overall,0.9449
Accuracy,ml,overall,0.9397
F1_macro,ml,overall,0.9234
Spearman_rho,ml,overall,0.9502
p_value,ml,overall,0.0
MAE,rule,overall,12.7215
RMSE,rule,overall,15.1606
R2,rule,overall,0.017
Accuracy,rule,overall,0.6415
F1_macro,rule,overall,0.6629
Spearman_rho,rule,overall,0.6657
p_value,rule,overall,0.0
R2,ml,spot_ericeira,0.983
MAE,ml,spot_ericeira,1.182
RMSE,ml,spot_ericeira,2.036
Accuracy,ml,spot_ericeira,0.963
F1_macro,ml,spot_ericeira,0.921
Spearman,ml,spot_ericeira,0.99
R2,ml,spot_gold_coast,0.837
MAE,ml,spot_gold_coast,2.282
RMSE,ml,spot_gold_coast,3.624
Accuracy,ml,spot_gold_coast,0.952
F1_macro,ml,spot_gold_coast,0.669
Spearman,ml,spot_gold_coast,0.843
R2,ml,spot_hossegor,0.991
MAE,ml,spot_hossegor,1.013
RMSE,ml,spot_hossegor,1.55
Accuracy,ml,spot_hossegor,0.963
F1_macro,ml,spot_hossegor,0.954
Spearman,ml,spot_hossegor,0.996
R2,ml,spot_jeffreys_bay,0.704
MAE,ml,spot_jeffreys_bay,2.652
RMSE,ml,spot_jeffreys_bay,4.514
Accuracy,ml,spot_jeffreys_bay,0.964
F1_macro,ml,spot_jeffreys_bay,0.676
Spearman,ml,spot_jeffreys_bay,0.775
R2,ml,spot_pipeline,0.825
MAE,ml,spot_pipeline,3.17
RMSE,ml,spot_pipeline,4.939
Accuracy,ml,spot_pipeline,0.857
F1_macro,ml,spot_pipeline,0.902
Spearman,ml,spot_pipeline,0.886
R2,rule,spot_ericeira,-0.342
MAE,rule,spot_ericeira,15.23
RMSE,rule,spot_ericeira,18.239
Accuracy,rule,spot_ericeira,0.576
F1_macro,rule,spot_ericeira,0.539
Spearman,rule,spot_ericeira,0.388
R2,rule,spot_gold_coast,-1.201
MAE,rule,spot_gold_coast,11.797
RMSE,rule,spot_gold_coast,13.319
Accuracy,rule,spot_gold_coast,0.773
F1_macro,rule,spot_gold_coast,0.56
Spearman,rule,spot_gold_coast,0.76
R2,rule,spot_hossegor,-0.039
MAE,rule,spot_hossegor,13.457
RMSE,rule,spot_hossegor,16.395
Accuracy,rule,spot_hossegor,0.586
F1_macro,rule,spot_hossegor,0.629
Spearman,rule,spot_hossegor,0.628
R2,rule,spot_jeffreys_bay,-1.564
MAE,rule,spot_jeffreys_bay,11.667
RMSE,rule,spot_jeffreys_bay,13.289
Accuracy,rule,spot_jeffreys_bay,0.716
F1_macro,rule,spot_jeffreys_bay,0.522
Spearman,rule,spot_jeffreys_bay,0.595
R2,rule,spot_pipeline,-0.392
MAE,rule,spot_pipeline,11.456
RMSE,rule,spot_pipeline,13.919
Accuracy,rule,spot_pipeline,0.556
F1_macro,rule,spot_pipeline,0.631
Spearman,rule,spot_pipeline,0.513
R2,ml,season_DJF,0.967
MAE,ml,season_DJF,1.793
RMSE,ml,season_DJF,2.968
Accuracy,ml,season_DJF,0.956
F1_macro,ml,season_DJF,0.935
Spearman,ml,season_DJF,0.97
R2,ml,season_MAM,0.916
MAE,ml,season_MAM,2.316
RMSE,ml,season_MAM,4.099
Accuracy,ml,season_MAM,0.924
F1_macro,ml,season_MAM,0.914
Spearman,ml,season_MAM,0.922
R2,rule,season_DJF,0.038
MAE,rule,season_DJF,13.012
RMSE,rule,season_DJF,15.976
Accuracy,rule,season_DJF,0.691
F1_macro,rule,season_DJF,0.65
Spearman,rule,season_DJF,0.629
R2,rule,season_MAM,-0.024
MAE,rule,season_MAM,12.443
RMSE,rule,season_MAM,14.336
Accuracy,rule,season_MAM,0.594
F1_macro,rule,season_MAM,0.679
Spearman,rule,season_MAM,0.701
