scenario,system,dimension,score,run_1,run_2,run_3
ericeira_5d,gpt4o_mini,factual_consistency,0.8381,0.5143,1.0,1.0
ericeira_5d,gpt4o_mini,safety_enforcement,N/A,N/A,N/A,N/A
ericeira_5d,gpt4o_mini,temporal_optimisation,1.0,1.0,1.0,1.0
ericeira_5d,gpt4o_mini,explainability,0.3623,1.0,0.0083,0.0787
ericeira_5d,gpt4o_mini,consistency,0.3915,,,
ericeira_5d,surfsense,factual_consistency,0.993,1.0,1.0,0.9789
ericeira_5d,surfsense,safety_enforcement,N/A,N/A,N/A,N/A
ericeira_5d,surfsense,temporal_optimisation,0.3333,0.0,0.0,1.0
ericeira_5d,surfsense,explainability,0.9573,1.0,0.9487,0.9231
ericeira_5d,surfsense,consistency,0.4288,,,
guincho_24h,gpt4o_mini,factual_consistency,0.7917,0.75,0.875,0.75
guincho_24h,gpt4o_mini,safety_enforcement,N/A,N/A,N/A,N/A
guincho_24h,gpt4o_mini,temporal_optimisation,1.0,1.0,1.0,1.0
guincho_24h,gpt4o_mini,explainability,0.0755,0.0769,0.1111,0.0385
guincho_24h,gpt4o_mini,consistency,0.6009,,,
guincho_24h,surfsense,factual_consistency,0.4236,0.5,0.0,0.7708
guincho_24h,surfsense,safety_enforcement,N/A,N/A,N/A,N/A
guincho_24h,surfsense,temporal_optimisation,1.0,1.0,1.0,1.0
guincho_24h,surfsense,explainability,0.6533,0.0,0.96,1.0
guincho_24h,surfsense,consistency,0.2334,,,
peniche_5d,gpt4o_mini,factual_consistency,1.0,1.0,1.0,1.0
peniche_5d,gpt4o_mini,safety_enforcement,N/A,N/A,N/A,N/A
peniche_5d,gpt4o_mini,temporal_optimisation,1.0,1.0,1.0,1.0
peniche_5d,gpt4o_mini,explainability,0.0189,0.0244,0.0081,0.0242
peniche_5d,gpt4o_mini,consistency,0.6732,,,
peniche_5d,surfsense,factual_consistency,0.8969,1.0,0.9615,0.7292
peniche_5d,surfsense,safety_enforcement,N/A,N/A,N/A,N/A
peniche_5d,surfsense,temporal_optimisation,0.6667,1.0,0.0,1.0
peniche_5d,surfsense,explainability,0.6378,0.0,0.9722,0.9412
peniche_5d,surfsense,consistency,0.4399,,,
sagres_5d,gpt4o_mini,factual_consistency,1.0,1.0,1.0,1.0
sagres_5d,gpt4o_mini,safety_enforcement,N/A,N/A,N/A,N/A
sagres_5d,gpt4o_mini,temporal_optimisation,1.0,1.0,1.0,1.0
sagres_5d,gpt4o_mini,explainability,0.2264,0.5,0.125,0.0543
sagres_5d,gpt4o_mini,consistency,0.1516,,,
sagres_5d,surfsense,factual_consistency,0.9907,0.9894,0.9931,0.9896
sagres_5d,surfsense,safety_enforcement,N/A,N/A,N/A,N/A
sagres_5d,surfsense,temporal_optimisation,1.0,1.0,1.0,1.0
sagres_5d,surfsense,explainability,0.9231,0.9216,0.9231,0.9245
sagres_5d,surfsense,consistency,0.5545,,,
