### Surf Session Ratings and Recommendations for Ericeira

#### Ratings for Each Hour
| Timestamp              | Wave Height (m) | Wind Speed (kph) | Rating       | Notes                                     |
|-----------------------|------------------|------------------|--------------|-------------------------------------------|
| 2026-04-26T00:00      | 1.36             | 12.1             | Suitable     | Wind is manageable.                       |
| 2026-04-26T01:00      | 1.36             | 13.2             | Suitable     | Good conditions continue.                 |
| 2026-04-26T02:00      | 1.36             | 12.2             | Suitable     | Consistent swell height.                  |
| 2026-04-26T03:00      | 1.34             | 12.6             | Suitable     | Still good conditions.                    |
| 2026-04-26T04:00      | 1.34             | 12.5             | Suitable     | Conditions remain suitable.               |
| 2026-04-26T05:00      | 1.32             | 11.0             | Suitable     | Slightly lower wind.                      |
| 2026-04-26T06:00      | 1.32             | 10.8             | Suitable     | Ideal for intermediate surfers.           |
| 2026-04-26T07:00      | 1.30             | 10.2             | Ideal        | Great conditions.                         |
| 2026-04-26T08:00      | 1.28             | 10.0             | Ideal        | Optimal for surfing.                      |
| 2026-04-26T09:00      | 1.26             | 11.6             | Suitable     | Still very good.                         |
| 2026-04-26T10:00      | 1.24             | 10.0             | Suitable     | Excellent conditions continue.            |
| 2026-04-26T11:00      | 1.24             | 9.9              | Suitable     | Good for surfing.                         |
| 2026-04-26T12:00      | 1.22             | 12.2             | Suitable     | Conditions remain favorable.              |
| 2026-04-26T13:00      | 1.22             | 15.1             | Challenging  | Wind picking up slightly.                 |
| 2026-04-26T14:00      | 1.24             | 15.9             | Challenging  | Wind continues to increase.               |
| 2026-04-26T15:00      | 1.24             | 17.7             | Challenging  | Higher wind, watch conditions.            |
| 2026-04-26T16:00      | 1.26             | 19.5             | Challenging  | Wind increases further.                   |
| 2026-04-26T17:00      | 1.28             | 19.4             | Challenging  | Continuing strong wind.                   |
| 2026-04-26T18:00      | 1.28             | 20.2             | Challenging  | Wind at 20.2 kph, be cautious.           |
| 2026-04-26T19:00      | 1.30             | 19.4             | Challenging  | Consistent high wind.                     |
| 2026-04-26T20:00      | 1.30             | 14.8             | Suitable     | Wind drops, improving conditions.         |
| 2026-04-26T21:00      | 1.30             | 12.9             | Suitable     | Good for intermediate surfers.            |
| 2026-04-26T22:00      | 1.30             | 12.1             | Suitable     | Conditions remain stable.                 |
| 2026-04-26T23:00      | 1.32             | 10.7             | Suitable     | Very favorable conditions.                 |
| 2026-04-27T00:00      | 1.32             | 11.8             | Suitable     | Good conditions for surfing.              |
| 2026-04-27T01:00      | 1.34             | 11.9             | Suitable     | Slight increase in wave height.           |
| 2026-04-27T02:00      | 1.34             | 10.2             | Suitable     | Consistent swell.                         |
| 2026-04-27T03:00      | 1.36             | 9.1              | Suitable     | Ideal conditions.                         |
| 2026-04-27T04:00      | 1.36             | 8.6              | Ideal        | Optimal for surfing.                      |
| 2026-04-27T05:00      | 1.36             | 8.7              | Ideal        | Excellent conditions continue.            |
| 2026-04-27T06:00      | 1.36             | 8.2              | Ideal        | Great conditions.                         |
| 2026-04-27T07:00      | 1.36             | 6.9              | Ideal        | Perfect for intermediate surfers.         |
| 2026-04-27T08:00      | 1.38             | 5.8              | Ideal        | Excellent conditions.                     |
| 2026-04-27T09:00      | 1.38             | 4.8              | Ideal        | Great for surfing.                        |
| 2026-04-27T10:00      | 1.40             | 4.0              | Ideal        | Optimal wind and swell.                  |
| 2026-04-27T11:00      | 1.40             | 4.5              | Ideal        | Very favorable conditions.                |
| 2026-04-27T12:00      | 1.40             | 5.6              | Ideal        | Good conditions.                          |
| 2026-04-27T13:00      | 1.40             | 7.9              | Suitable     | Slight increase in wind.                  |
| 2026-04-27T14:00      | 1.40             | 10.0             | Suitable     | Still manageable.                         |
| 2026-04-27T15:00      | 1.40             | 12.4             | Suitable     | Good for intermediate surfers.            |
| 2026-04-27T16:00      | 1.40             | 10.7             | Suitable     | Consistent conditions.                    |
| 2026-04-27T17:00      | 1.40             | 10.2             | Suitable     | Ideal conditions.                         |
| 2026-04-27T18:00      | 1.42             | 9.7              | Suitable     | Good conditions for surfing.              |
| 2026-04-27T19:00      | 1.42             | 9.8              | Suitable     | Excellent for intermediate surfers.       |
| 2026-04-27T20:00      | 1.42             | 9.4              | Suitable     | Good conditions.                          |
| 2026-04-27T21:00      | 1.40             | 7.2              | Ideal        | Perfect for intermediate surfers.         |
| 2026-04-27T22:00      | 1.40             | 6.9              | Ideal        | Excellent conditions continue.            |
| 2026-04-27T23:00      | 1.40             | 6.5              | Ideal        | Great for surfing.                        |
| 2026-04-28T00:00      | 1.38             | 5.8              | Ideal        | Very favorable conditions.                |
| 2026-04-28T01:00      | 1.38             | 5.0              | Ideal        | Perfect conditions.                       |
| 2026-04-28T02:00      | 1.38             | 5.4              | Ideal        | Continue to be optimal.                   |
