### Surf Session Ratings and Analysis for Ericeira

#### Hourly Ratings
| Timestamp             | Wave Height (m) | Wind Speed (kph) | Rating      | Notes                                      |
|-----------------------|------------------|-------------------|-------------|--------------------------------------------|
| 2026-04-26T00:00      | 1.36             | 12.1              | Suitable    | Good wave height, moderate wind.          |
| 2026-04-26T01:00      | 1.36             | 13.2              | Suitable    | Similar to previous hour.                  |
| 2026-04-26T02:00      | 1.36             | 12.2              | Suitable    | Stable conditions.                         |
| 2026-04-26T03:00      | 1.34             | 12.6              | Suitable    | Good for intermediate surfers.             |
| 2026-04-26T04:00      | 1.34             | 12.5              | Suitable    | Consistent conditions.                     |
| 2026-04-26T05:00      | 1.32             | 11.0              | Suitable    | Ideal for a morning session.              |
| 2026-04-26T06:00      | 1.32             | 10.8              | Suitable    | Good conditions continue.                  |
| 2026-04-26T07:00      | 1.30             | 10.2              | Suitable    | Nice wave height, manageable wind.        |
| 2026-04-26T08:00      | 1.28             | 10.0              | Suitable    | Ideal morning conditions.                  |
| 2026-04-26T09:00      | 1.26             | 11.6              | Suitable    | Good for intermediate surfers.             |
| 2026-04-26T10:00      | 1.24             | 10.0              | Suitable    | Consistent small waves.                    |
| 2026-04-26T11:00      | 1.24             | 9.9               | Suitable    | Stable conditions.                         |
| 2026-04-26T12:00      | 1.22             | 12.2              | Suitable    | Manageable wind, good wave height.        |
| 2026-04-26T13:00      | 1.22             | 15.1              | Suitable    | Slightly higher wind, still surfable.     |
| 2026-04-26T14:00      | 1.24             | 15.9              | Suitable    | Good for intermediate surfers.             |
| 2026-04-26T15:00      | 1.24             | 17.7              | Suitable    | Wind picking up, still manageable.        |
| 2026-04-26T16:00      | 1.26             | 19.5              | Challenging  | Higher wind may make conditions tricky.   |
| 2026-04-26T17:00      | 1.28             | 19.4              | Challenging  | Continued high wind makes it difficult.   |
| 2026-04-26T18:00      | 1.28             | 20.2              | Challenging  | Wind speed increasing.                     |
| 2026-04-26T19:00      | 1.30             | 19.4              | Challenging  | Challenging conditions persist.            |
| 2026-04-26T20:00      | 1.30             | 14.8              | Suitable    | Wind decreases, better conditions.        |
| 2026-04-26T21:00      | 1.30             | 12.9              | Suitable    | Good for a late session.                  |
| 2026-04-26T22:00      | 1.30             | 12.1              | Suitable    | Consistent conditions continue.            |
| 2026-04-26T23:00      | 1.32             | 10.7              | Suitable    | Ideal for night surfing.                   |
| 2026-04-27T00:00      | 1.32             | 11.8              | Suitable    | Good overnight conditions.                 |
| 2026-04-27T01:00      | 1.34             | 11.9              | Suitable    | Consistent swell.                          |
| 2026-04-27T02:00      | 1.34             | 10.2              | Suitable    | Ideal for early morning surfers.          |
| 2026-04-27T03:00      | 1.36             | 9.1               | Suitable    | Good conditions.                           |
| 2026-04-27T04:00      | 1.36             | 8.6               | Suitable    | Ideal conditions persist.                  |
| 2026-04-27T05:00      | 1.36             | 8.7               | Suitable    | Good for early surfers.                    |
| 2026-04-27T06:00      | 1.36             | 8.2               | Suitable    | Calm winds, nice waves.                   |
| 2026-04-27T07:00      | 1.36             | 6.9               | Suitable    | Excellent morning conditions.              |
| 2026-04-27T08:00      | 1.38             | 5.8               | Ideal       | Perfect for surfing.                       |
| 2026-04-27T09:00      | 1.38             | 4.8               | Ideal       | Ideal conditions continue.                 |
| 2026-04-27T10:00      | 1.40             | 4.0               | Ideal       | Excellent for intermediate surfers.        |
| 2026-04-27T11:00      | 1.40             | 4.5               | Ideal       | Great conditions persist.                  |
| 2026-04-27T12:00      | 1.40             | 5.6               | Ideal       | Optimal conditions.                        |
| 2026-04-27T13:00      | 1.40             | 7.9               | Ideal       | Good for surfing.                          |
| 2026-04-27T14:00      | 1.40             | 10.0              | Suitable    | Manageable wind.                          |
| 2026-04-27T15:00      | 1.40             | 12.4              | Suitable    | Good for intermediate surfers.             |
| 2026-04-27T16:00      | 1.40             | 10.7              | Suitable    | Stable conditions.                         |
| 2026-04-27T17:00      | 1.40             | 10.2              | Suitable    | Consistent wave height.                   |
| 2026-04-27T18:00      | 1.42             | 9.7               | Suitable    | Good for a late session.                  |
| 2026-04-27T19:00      | 1.42             | 9.8               | Suitable    | Nice evening conditions.                   |
| 2026-04-27T20:00      | 1.42             | 9.4               | Suitable    | Ideal for night surfing.                   |
| 2026-04-27T21:00      | 1.40             | 7.2               | Suitable    | Good conditions continue.                  |
| 2026-04-27T22:00      | 1.40             | 6.9               | Suitable    | Stable wind.                              |
| 2026-04-27T23:00      | 1.40             | 6.5               | Suitable    | Consistent evening conditions.             |
| 2026-04-28T00:00      | 1.38             | 5.8               | Suitable    | Ideal for early morning.                  |
| 2026-04-28T01:00      | 1.38             | 5.0               | Suitable    | Calm conditions.                           |
| 2026-04-28T02:00      | 1.38             | 5.4               | Suitable    | Good morning conditions.                   |
| 2026-04-28T03:00      | 1.40             | 5.4               | Suitable    | Consistent conditions.                     |
| 2026-04-28T04:00      | 1.40             | 5.2               | Suitable    | Ideal for surfers.                        |
| 2026-04-28T05:00      | 1.42             | 6.1               | Suitable    | Good for a morning session.               |
| 2026-04-28T06:00      | 1.44             | 6.2               | Suitable    | Nice wave height, manageable wind.       |
| 2026-04-28T07:00      | 1.46             | 4.7               | Ideal       | Perfect surfing conditions.                |
| 2026-04-28T08:00      | 1.50             | 5.5               | Ideal       | Excellent for intermediate surfers.        |
| 2026-04-28T09:00      | 1.52             | 7.6               | Ideal       | Optimal conditions continue.               |
| 2026-04-28T10:00      | 1.56             | 8.6               | Ideal       | Great for surfing.                        |
| 2026-04-28T11:00      | 1.58             | 8.9               | Ideal       | Consistent wave height.                   |
| 2026-04-28T12:00      | 1.58             | 8.7               | Ideal       | Good conditions for surfing.              |
| 2026-04-28T13:00      | 1.60             | 9.0               | Ideal       | Excellent for surfers.                    |
| 2026-04-28T14:00      | 1.60             | 12.4              | Suitable    | Wind increases slightly.                  |
| 2026-04-28T15:00      | 1.58             | 14.3              | Suitable    | Manageable wind, good for intermediate.   |
| 2026-04-28T16:00      | 1.58             | 13.6              | Suitable    | Stable conditions.                        |
| 2026-04-28T17:00      | 1.58             | 13.0              | Suitable    | Good for evening surfing.                  |
| 2026-04-28T18:00      | 1.56             | 12.2              | Suitable    | Nice late session conditions.              |
| 2026-04-28T19:00      | 1.56             | 9.2               | Suitable    | Ideal for night surfing.                   |
| 2026-04-28T20:00      | 1.54             | 9.9               | Suitable    | Good evening conditions.                   |
| 2026-04-28T21:00      | 1.54             | 8.3               | Suitable    | Stable wind and wave height.               |
| 2026-04-28T22:00      | 1.52             | 5.0               | Ideal       | Perfect for early morning.                 |
| 2026-04-28T23:00      | 1.50             | 5.4               | Ideal       | Calm conditions persist.                   |
| 2026-04-29T00:00      | 1.46             | 8.0               | Suitable    | Good for early surfers.                    |
| 2026-04-29T01:00      | 1.44             | 3.8               | Ideal       | Excellent conditions.                       |
| 2026-04-29T02:00      | 1.42             | 5.4               | Suitable    | Manageable wind.                          |
| 2026-04-29T03:00      | 1.40             | 6.9               | Suitable    | Good conditions.                           |
| 2026-04-29T04:00      | 1.38             | 7.4               | Suitable    | Ideal for morning surfing.                 |
| 2026-04-29T05:00      | 1.38             | 5.9               | Suitable    | Good conditions continue.                  |
| 2026-04-29T06:00      | 1.36             | 4.3               | Ideal       | Excellent for surfing.                     |
| 2026-04-29T07:00      | 1.36             | 2.8               | Ideal       | Perfect morning conditions.                |
| 2026-04-29T08:00      | 1.36             | 3.3               | Ideal       | Optimal conditions continue.               |
| 2026-04-29T09:00      | 1.38             | 7.3               | Suitable    | Manageable wind.                          |
| 2026-04-29T10:00      | 1.38             | 11.0              | Suitable    | Good for intermediate surfers.             |
| 2026-04-29T11:00      | 1.40             | 13.6              | Suitable    | Slightly higher wind.                      |
| 2026-04-29T12:00      | 1.42             | 15.3              | Suitable    | Manageable for intermediate surfers.       |
| 2026-04-29T13:00      | 1.44             | 16.6              | Challenging  | Wind making conditions tricky.             |
| 2026-04-29T14:00      | 1.46             | 17.5              | Challenging  | High wind, not ideal.                     |
| 2026-04-29T15:00      | 1.46             | 17.7              | Challenging  | Continued high wind, not recommended.     |
| 2026-04-29T16:00      | 1.48             | 17.8              | Challenging  | Wind remains high, challenging.           |
| 2026-04-29T17:00      | 1.50             | 17.7              | Challenging  | Difficult conditions.                       |
| 2026-04-29T18:00      | 1.50             | 17.1              | Challenging  | High wind persists.                        |
| 2026-04-29T19:00      | 1.52             | 14.8              | Suitable    | Wind decreases slightly.                   |
| 2026-04-29T20:00      | 1.52             | 11.8              | Suitable    | Good for evening surfing.                  |
| 2026-04-29T21:00      | 1.50             | 8.4               | Ideal       | Excellent late session conditions.         |
| 2026-04-29T22:00      | 1.50             | 6.1               | Ideal       | Perfect conditions for night surfing.     |
| 2026-04-29T23:00      | 1.50             | 5.5               | Ideal       | Excellent conditions continue.             |
| 2026-04-30T00:00      | 1.50             | 5.0               | Ideal       | Great for early morning surfers.          |
| 2026-04-30T01:00      | 1.50             | 4.8               | Ideal       | Stable conditions.                         |
| 2026-04-30T02:00      | 1.50             | 4.7               | Ideal       | Perfect for surfing.                      |
| 2026-04-30T03:00      | 1.50             | 4.9               | Ideal       | Excellent morning conditions.              |
| 2026-04-30T04:00      | 1.50             | 5.1               | Ideal       | Good for intermediate surfers.             |
| 2026-04-30T05:00      | 1.50             | 4.8               | Ideal       | Calm morning conditions.                   |
| 2026-04-30T06:00      | 1.50             | 4.7               | Ideal       | Excellent for surfing.                     |
| 2026-04-30T07:00      | 1.50             | 5.1               | Ideal       | Perfect conditions continue.                |
| 2026-04-30T08:00      | 1.50             | 7.6               | Suitable    | Manageable wind, good surf.               |
| 2026-04-30T09:00      | 1.50             | 11.7              | Suitable    | Wind increases slightly.                   |
| 2026-04-30T10:00      | 1.50             | 15.1              | Challenging  | Higher wind conditions.                    |
| 2026-04-30T11:00      | 1.50             | 16.3              | Challenging  | Wind continues to be high.                 |
| 2026-04-30T12:00      | 1.52             | 16.8              | Challenging  | Conditions remain challenging.             |
| 2026-04-30T13:00      | 1.52             | 17.3              | Challenging  | Wind remains high.                         |
| 2026-04-30T14:00      | 1.54             | 17.9              | Challenging  | Continued high wind.                       |
| 2026-04-30T15:00      | 1.54             | 18.4              | Challenging  | Not recommended for intermediate surfers.  |
| 2026-04-30T16:00      | 1.56             | 18.3              | Challenging  | Conditions remain difficult.               |
| 2026-04-30T17:00      | 1.56             | 17.7              | Challenging  | High wind continues.                       |
| 2026-04-30T18:00      | 1.58             | 16.5              | Challenging  | Wind decreases slightly.                   |
| 2026-04-30T19:00      | 1.58             | 14.8              | Suitable    | Manageable conditions return.              |
| 2026-04-30T20:00      | 1.60             | 11.3              | Suitable    | Good for evening surfing.                  |
| 2026-04-30T21:00      | 1.60             | 6.4               | Ideal       | Excellent conditions for night surfing.    |
