### Surf Conditions at Ribeira d'Ilhas, Ericeira (April 29 - May 3, 2026)

#### Hourly Ratings
Here's how the surf conditions break down for each hour:

| Date & Time (UTC)       | Rating     | Wave Height (m) | Wind Speed (km/h) | Swell Period (s) | Reasoning |
|-------------------------|------------|------------------|--------------------|------------------|-----------|
| 2026-04-29 00:00        | Suitable   | 1.38             | 3.3                | 12.3             | Waves 1.4m within range; Good swell period. |
| 2026-04-29 01:00        | Suitable   | 1.36             | 3.1                | 12.3             | Waves 1.4m within range; Good swell period. |
| 2026-04-29 02:00        | Suitable   | 1.34             | 3.1                | 12.3             | Waves 1.3m within range; Good swell period. |
| 2026-04-29 03:00        | Suitable   | 1.34             | 1.3                | 12.3             | Waves 1.3m within range; Good swell period. |
| 2026-04-29 04:00        | Suitable   | 1.32             | 6.7                | 12.3             | Waves 1.3m within range; Good swell period. |
| 2026-04-29 05:00        | Suitable   | 1.32             | 10.5               | 12.3             | Waves 1.3m within range; Good swell period. |
| 2026-04-29 06:00        | Suitable   | 1.34             | 12.8               | 12.3             | Waves 1.3m within range; Good swell period. |
| 2026-04-29 07:00        | Suitable   | 1.34             | 12.1               | 12.3             | Waves 1.3m within range; Good swell period. |
| 2026-04-29 08:00        | Suitable   | 1.34             | 13.0               | 12.3             | Waves 1.3m within range; Good swell period. |
| 2026-04-29 09:00        | Suitable   | 1.36             | 5.4                | 12.3             | Waves 1.4m within range; Good swell period. |
| 2026-04-29 10:00        | Suitable   | 1.36             | 3.6                | 12.3             | Waves 1.4m within range; Good swell period. |
| 2026-04-29 11:00        | Suitable   | 1.38             | 8.8                | 12.3             | Waves 1.4m within range; Good swell period. |
| 2026-04-29 12:00        | Suitable   | 1.38             | 12.7               | 12.3             | Waves 1.4m within range; Good swell period. |
| 2026-04-29 13:00        | Suitable   | 1.40             | 17.6               | 12.3             | Waves 1.4m within range; Good swell period. |
| 2026-04-29 14:00        | Suitable   | 1.44             | 20.6               | 12.3             | Waves 1.4m within range; Good swell period. |
| 2026-04-29 15:00        | Suitable   | 1.46             | 21.2               | 12.3             | Waves 1.5m within range; Good swell period. |
| 2026-04-29 16:00        | Suitable   | 1.50             | 19.3               | 12.3             | Waves 1.5m within range; Good swell period. |
| 2026-04-29 17:00        | Suitable   | 1.52             | 17.9               | 11.15            | Waves 1.5m within range; Good swell period. |
| 2026-04-29 18:00        | Suitable   | 1.54             | 16.0               | 11.15            | Waves 1.5m within range; Good swell period. |
| 2026-04-29 19:00        | Suitable   | 1.56             | 13.8               | 11.15            | Waves 1.6m within range; Good swell period. |
| 2026-04-29 20:00        | Suitable   | 1.56             | 11.3               | 11.15            | Waves 1.6m within range; Good swell period. |
| 2026-04-29 21:00        | Suitable   | 1.54             | 7.7                | 11.15            | Waves 1.5m within range; Good swell period. |
| 2026-04-29 22:00        | Suitable   | 1.54             | 5.2                | 11.15            | Waves 1.5m within range; Good swell period. |
| 2026-04-29 23:00        | Suitable   | 1.54             | 5.5                | 11.15            | Waves 1.5m within range; Good swell period. |
| 2026-04-30 00:00        | Suitable   | 1.52             | 4.3                | 11.15            | Waves 1.5m within range; Good swell period. |
| 2026-04-30 01:00        | Suitable   | 1.52             | 5.5                | 11.15            | Waves 1.5m within range; Good swell period. |
| 2026-04-30 02:00        | Suitable   | 1.52             | 5.9                | 11.15            | Waves 1.5m within range; Good swell period. |
| 2026-04-30 03:00        | Suitable   | 1.52             | 4.7                | 11.15            | Waves 1.5m within range; Good swell period. |
| 2026-04-30 04:00        | Suitable   | 1.52             | 5.2                | 11.15            | Waves 1.5m within range; Good swell period. |
| 2026-04-30 05:00        | Suitable   | 1.52             | 5.5                | 11.15            | Waves 1.5m within range; Good swell period. |
| 2026-04-30 06:00        | Suitable   | 1.54             | 5.2                | 11.15            | Waves 1.5m within range; Good swell period. |
| 2026-04-30 07:00        | Suitable   | 1.54             | 5.7                | 18.0             | Waves 1.5m within range; Good swell period. |
| 2026-04-30 08:00        | Suitable   | 1.54             | 5.4                | 18.0             | Waves 1.5m within range; Good swell period. |
| 2026-04-30 09:00        | Suitable   | 1.56             | 9.0                | 18.0             | Waves 1.6m within range; Good swell period. |
| 2026-04-30 10:00        | Suitable   | 1.56             | 11.6               | 18.0             | Waves 1.6m within range; Good swell period. |
| 2026-04-30 11:00        | Suitable   | 1.58             | 13.3               | 18.0             | Waves 1.6m within range; Good swell period. |
| 2026-04-30 12:00        | Suitable   | 1.60             | 14.3               | 16.35            | Waves 1.6m within range; Good swell period. |
| 2026-04-30 13:00        | Suitable   | 1.62             | 15.1               | 16.35            | Waves 1.6m within range; Good swell period. |
| 2026-04-30 14:00        | Suitable   | 1.64             | 14.8               | 16.35            | Waves 1.6m within
