### Surf Session Ratings

| Timestamp           | Wave Height (m) | Wind Speed (kph) | Rating     | Comments                      |
|---------------------|------------------|-------------------|------------|-------------------------------|
| 2026-04-26T00:00    | 1.36             | 12.1              | Suitable   | Good conditions for beginners. |
| 2026-04-26T01:00    | 1.36             | 13.2              | Suitable   | Consistent swell.             |
| 2026-04-26T02:00    | 1.36             | 12.2              | Suitable   | Moderate wind.                |
| 2026-04-26T03:00    | 1.34             | 12.6              | Suitable   | Ideal for beginners.          |
| 2026-04-26T04:00    | 1.34             | 12.5              | Suitable   | Good conditions.              |
| 2026-04-26T05:00    | 1.32             | 11.0              | Suitable   | Good for practice.            |
| 2026-04-26T06:00    | 1.32             | 10.8              | Suitable   | Continuing good conditions.   |
| 2026-04-26T07:00    | 1.30             | 10.2              | Suitable   | Perfect for beginners.        |
| 2026-04-26T08:00    | 1.28             | 10.0              | Suitable   | Ideal for new surfers.        |
| 2026-04-26T09:00    | 1.26             | 11.6              | Suitable   | Good conditions.              |
| 2026-04-26T10:00    | 1.24             | 10.0              | Suitable   | Wind is manageable.           |
| 2026-04-26T11:00    | 1.24             | 9.9               | Suitable   | Nice conditions.              |
| 2026-04-26T12:00    | 1.22             | 12.2              | Suitable   | Good for practice.            |
| 2026-04-26T13:00    | 1.22             | 15.1              | Suitable   | Slightly challenging.         |
| 2026-04-26T14:00    | 1.24             | 15.9              | Suitable   | Manageable conditions.        |
| 2026-04-26T15:00    | 1.24             | 17.7              | Challenging| Increasing wind.              |
| 2026-04-26T16:00    | 1.26             | 19.5              | Challenging| Windy, be cautious.           |
| 2026-04-26T17:00    | 1.28             | 19.4              | Challenging| High wind, tough conditions.  |
| 2026-04-26T18:00    | 1.28             | 20.2              | Challenging| Strong wind.                  |
| 2026-04-26T19:00    | 1.30             | 19.4              | Challenging| Wind is difficult.            |
| 2026-04-26T20:00    | 1.30             | 14.8              | Suitable   | Wind calms down.              |
| 2026-04-26T21:00    | 1.30             | 12.9              | Suitable   | Good for evening session.     |
| 2026-04-26T22:00    | 1.30             | 12.1              | Suitable   | Conditions remain stable.     |
| 2026-04-26T23:00    | 1.32             | 10.7              | Suitable   | Good conditions at night.     |
| 2026-04-27T00:00    | 1.32             | 11.8              | Suitable   | Continues to be favorable.    |
| 2026-04-27T01:00    | 1.34             | 11.9              | Suitable   | Nice surf conditions.         |
| 2026-04-27T02:00    | 1.34             | 10.2              | Suitable   | Relaxed conditions.           |
| 2026-04-27T03:00    | 1.36             | 9.1               | Suitable   | Great for beginners.          |
| 2026-04-27T04:00    | 1.36             | 8.6               | Suitable   | Ideal for practice.           |
| 2026-04-27T05:00    | 1.36             | 8.7               | Suitable   | Good surf conditions.         |
| 2026-04-27T06:00    | 1.36             | 8.2               | Suitable   | Continues to be good.        |
| 2026-04-27T07:00    | 1.36             | 6.9               | Suitable   | Very calm conditions.         |
| 2026-04-27T08:00    | 1.38             | 5.8               | Suitable   | Excellent for beginners.      |
| 2026-04-27T09:00    | 1.38             | 4.8               | Suitable   | Ideal conditions.             |
| 2026-04-27T10:00    | 1.40             | 4.0               | Suitable   | Very favorable.               |
| 2026-04-27T11:00    | 1.40             | 4.5               | Suitable   | Great for new surfers.        |
| 2026-04-27T12:00    | 1.40             | 5.6               | Suitable   | Good conditions.              |
| 2026-04-27T13:00    | 1.40             | 7.9               | Suitable   | Manageable wind.              |
| 2026-04-27T14:00    | 1.40             | 10.0              | Suitable   | Good for practice.            |
| 2026-04-27T15:00    | 1.40             | 12.4              | Suitable   | Wind increasing.              |
| 2026-04-27T16:00    | 1.40             | 10.7              | Suitable   | Good conditions.              |
| 2026-04-27T17:00    | 1.40             | 10.2              | Suitable   | Nice afternoon surf.         |
| 2026-04-27T18:00    | 1.42             | 9.7               | Suitable   | Conditions remain good.       |
| 2026-04-27T19:00    | 1.42             | 9.8               | Suitable   | Perfect for evening session.  |
| 2026-04-27T20:00    | 1.42             | 9.4               | Suitable   | Continues to be favorable.    |
| 2026-04-27T21:00    | 1.40             | 7.2               | Suitable   | Calm evening conditions.      |
| 2026-04-27T22:00    | 1.40             | 6.9               | Suitable   | Great for late surfers.       |
| 2026-04-27T23:00    | 1.40             | 6.5               | Suitable   | Ideal end to the day.        |
| 2026-04-28T00:00    | 1.38             | 5.8               | Suitable   | Nice calm conditions.         |
| 2026-04-28T01:00    | 1.38             | 5.0               | Suitable   | Excellent for practice.       |
| 2026-04-28T02:00    | 1.38             | 5.4               | Suitable   | Very favorable conditions.     |
| 2026-04-28T03:00    | 1.40             | 5.4               | Suitable   | Consistent surf.              |
| 2026-04-28T04:00    | 1.40             | 5.2               | Suitable   | Good for beginners.           |
| 2026-04-28T05:00    | 1.42             | 6.1               | Suitable   | Good conditions.              |
| 2026-04-28T06:00    | 1.44             | 6.2               | Suitable   | Great for practice.           |
| 2026-04-28T07:00    | 1.46             | 4.7               | Suitable   | Ideal for beginners.          |
| 2026-04-28T08:00    | 1.50             | 5.5               | Suitable   | Excellent conditions.         |
| 2026-04-28T09:00    | 1.52             | 7.6               | Suitable   | Manageable wind.              |
| 2026-04-28T10:00    | 1.56             | 8.6               | Suitable   | Good for practice.            |
| 2026-04-28T11:00    | 1.58             | 8.9               | Suitable   | Nice conditions.              |
| 2026-04-28T12:00    | 1.58             | 8.7               | Suitable   | Ideal for surfing.            |
| 2026-04-28T13:00    | 1.60             | 9.0               | Suitable   | Good for practice.            |
| 2026-04-28T14:00    | 1.60             | 12.4              | Challenging| Wind increasing.              |
| 2026-04-28T15:00    | 1.58             | 14.3              | Challenging| Higher wind speeds.           |
| 2026-04-28T16:00    | 1.58             | 13.6              | Challenging| Windy conditions.             |
| 2026-04-28T17:00    | 1.58             | 13.0              | Challenging| Wind remains high.            |
| 2026-04-28T18:00    | 1.56             | 12.2              | Suitable   | Calming down slightly.        |
| 2026-04-28T19:00    | 1.56             | 9.2               | Suitable   | Good evening conditions.      |
| 2026-04-28T20:00    | 1.54             | 9.9               | Suitable   | Nice conditions.              |
| 2026-04-28T21:00    | 1.54             | 8.3               | Suitable   | Ideal for late surf.          |
| 2026-04-28T22:00    | 1.52             | 5.0               | Suitable   | Very calm conditions.         |
| 2026-04-28T23:00    | 1.50             | 5.4               | Suitable   | Great for beginners.          |
| 2026-04-29T00:00    | 1.46             | 8.0               | Suitable   | Good conditions.              |
| 2026-04-29T01:00    | 1.44             | 3.8               | Suitable   | Excellent for practice.       |
| 2026-04-29T02:00    | 1.42             | 5.4               | Suitable   | Good conditions.              |
| 2026-04-29T03:00    | 1.40             | 6.9               | Suitable   | Nice surf.                   |
