### Surf Session Forecast Ratings

#### Ratings for Each Hour
- **Ideal**: Wave height > 1.5 m, wind speed < 10 kph
- **Suitable**: Wave height 1.2 m - 1.5 m, wind speed < 15 kph
- **Challenging**: Wave height 1.0 m - 1.2 m, wind speed < 20 kph
- **Unsafe**: Wave height > 7.5 m or wind speed > 45 kph

| Timestamp           | Wave Height (m) | Wind Speed (kph) | Rating     |
|---------------------|------------------|------------------|------------|
| 2026-04-26T00:00    | 1.36             | 12.1             | Suitable   |
| 2026-04-26T01:00    | 1.36             | 13.2             | Suitable   |
| 2026-04-26T02:00    | 1.36             | 12.2             | Suitable   |
| 2026-04-26T03:00    | 1.34             | 12.6             | Suitable   |
| 2026-04-26T04:00    | 1.34             | 12.5             | Suitable   |
| 2026-04-26T05:00    | 1.32             | 11.0             | Suitable   |
| 2026-04-26T06:00    | 1.32             | 10.8             | Suitable   |
| 2026-04-26T07:00    | 1.30             | 10.2             | Suitable   |
| 2026-04-26T08:00    | 1.28             | 10.0             | Suitable   |
| 2026-04-26T09:00    | 1.26             | 11.6             | Suitable   |
| 2026-04-26T10:00    | 1.24             | 10.0             | Suitable   |
| 2026-04-26T11:00    | 1.24             | 9.9              | Suitable   |
| 2026-04-26T12:00    | 1.22             | 12.2             | Suitable   |
| 2026-04-26T13:00    | 1.22             | 15.1             | Suitable   |
| 2026-04-26T14:00    | 1.24             | 15.9             | Suitable   |
| 2026-04-26T15:00    | 1.24             | 17.7             | Suitable   |
| 2026-04-26T16:00    | 1.26             | 19.5             | Challenging|
| 2026-04-26T17:00    | 1.28             | 19.4             | Challenging|
| 2026-04-26T18:00    | 1.28             | 20.2             | Challenging|
| 2026-04-26T19:00    | 1.30             | 19.4             | Challenging|
| 2026-04-26T20:00    | 1.30             | 14.8             | Suitable   |
| 2026-04-26T21:00    | 1.30             | 12.9             | Suitable   |
| 2026-04-26T22:00    | 1.30             | 12.1             | Suitable   |
| 2026-04-26T23:00    | 1.32             | 10.7             | Suitable   |
| 2026-04-27T00:00    | 1.32             | 11.8             | Suitable   |
| 2026-04-27T01:00    | 1.34             | 11.9             | Suitable   |
| 2026-04-27T02:00    | 1.34             | 10.2             | Suitable   |
| 2026-04-27T03:00    | 1.36             | 9.1              | Suitable   |
| 2026-04-27T04:00    | 1.36             | 8.6              | Suitable   |
| 2026-04-27T05:00    | 1.36             | 8.7              | Suitable   |
| 2026-04-27T06:00    | 1.36             | 8.2              | Suitable   |
| 2026-04-27T07:00    | 1.36             | 6.9              | Suitable   |
| 2026-04-27T08:00    | 1.38             | 5.8              | Suitable   |
| 2026-04-27T09:00    | 1.38             | 4.8              | Suitable   |
| 2026-04-27T10:00    | 1.40             | 4.0              | Ideal      |
| 2026-04-27T11:00    | 1.40             | 4.5              | Ideal      |
| 2026-04-27T12:00    | 1.40             | 5.6              | Ideal      |
| 2026-04-27T13:00    | 1.40             | 7.9              | Ideal      |
| 2026-04-27T14:00    | 1.40             | 10.0             | Ideal      |
| 2026-04-27T15:00    | 1.40             | 12.4             | Suitable   |
| 2026-04-27T16:00    | 1.40             | 10.7             | Suitable   |
| 2026-04-27T17:00    | 1.40             | 10.2             | Suitable   |
| 2026-04-27T18:00    | 1.42             | 9.7              | Suitable   |
| 2026-04-27T19:00    | 1.42             | 9.8              | Suitable   |
| 2026-04-27T20:00    | 1.42             | 9.4              | Suitable   |
| 2026-04-27T21:00    | 1.40             | 7.2              | Suitable   |
| 2026-04-27T22:00    | 1.40             | 6.9              | Suitable   |
| 2026-04-27T23:00    | 1.40             | 6.5              | Suitable   |
| 2026-04-28T00:00    | 1.38             | 5.8              | Suitable   |
| 2026-04-28T01:00    | 1.38             | 5.0              | Suitable   |
| 2026-04-28T02:00    | 1.38             | 5.4              | Suitable   |
| 2026-04-28T03:00    | 1.40             | 5.4              | Suitable   |
| 2026-04-28T04:00    | 1.40             | 5.2              | Suitable   |
| 2026-04-28T05:00    | 1.42             | 6.1              | Suitable   |
| 2026-04-28T06:00    | 1.44             | 6.2              | Suitable   |
| 2026-04-28T07:00    | 1.46             | 4.7              | Suitable   |
| 2026-04-28T08:00    | 1.50             | 5.5              | Suitable   |
| 2026-04-28T09:00    | 1.52             | 7.6              | Suitable   |
| 2026-04-28T10:00    | 1.56             | 8.6              | Suitable   |
| 2026-04-28T11:00    | 1.58             | 8.9              | Suitable   |
| 2026-04-28T12:00    | 1.58             | 8.7              | Suitable   |
| 2026-04-28T13:00    | 1.60             | 9.0              | Suitable   |
| 2026-04-28T14:00    | 1.60             | 12.4             | Suitable   |
| 2026-04-28T15:00    | 1.58             | 14.3             | Challenging|
| 2026-04-28T16:00    | 1.58             | 13.6             | Challenging|
| 2026-04-28T17:00    | 1.58             | 13.0             | Challenging|
| 2026-04-28T18:00    | 1.56             | 12.2             | Challenging|
| 2026-04-28T19:00    | 1.56             | 9.2              | Suitable   |
| 2026-04-28T20:00    | 1.54             | 9.9              | Suitable   |
| 2026-04-28T21:00    | 1.54             | 8.3              | Suitable   |
| 2026-04-28T22:00 | 1.52             | 5.0              | Suitable   |
| 2026-04-28T23:00 | 1.50             | 5.4              | Suitable   |
| 2026-04-29T00:00 | 1.46             | 8.0              | Suitable   |
| 2026-04-29T01:00 | 1.44             | 3.8              | Ideal      |
| 2026-04-29T02:00 | 1.42             | 5.4              | Suitable   |
| 2026-04-29T03:00 | 1.40             | 6.9              | Suitable   |
| 2026-04-29T04:00 | 1.38             | 7.4              | Suitable   |
| 2026-04-29T05:00 | 1.38             | 5.9              | Suitable   |
| 2026-04-29T06:00 | 1.36             | 4.3              | Ideal      |
| 2026-04-29T07:00 | 1.36             | 2.8              | Ideal      |
| 2026-04-29T08:00 | 1.36             | 3.3              | Ideal      |
| 2026-04-29T09:00 | 1.38             | 7.3              | Suitable   |
| 2026-04-29T10:00 | 1.38             | 11.0             | Suitable   |
| 2026-04-29T11:00 | 1.40             | 13.6             | Suitable   |
| 2026-04-29T12:00 | 1.42             | 15.3             | Suitable   |
| 2026-04-29T13:00 | 1.44             | 16.6             | Suitable   |
| 2026-04-29T14:00 | 1.46             | 17.5             | Suitable   |
| 2026-04-29T15:00 | 1.46             | 17.7             | Suitable   |
| 2026-04-29T16:00 | 1.48             | 17.8 | Suitable   |
| 2026-04-29T17:00 | 1.50             | 17.7 | Suitable   |
| 2026-04-29T18:00 | 1.50             | 17.1 | Suitable   |
| 2026-04-29T19:00 | 1.52             | 14.8 | Suitable   |
| 2026-04-29T20:00 | 1.52             | 11.8 | Suitable   |
| 2026-04-29T21:00 | 1.50             | 8.4  | Suitable   |
| 2026-04-29T22:00 | 1.50             | 6.1  | Suitable   |
| 2026-04-29T23:00 | 1.50             | 5.5  | Suitable   |
| 2026-04-30T00:00 | 1.50             | 5.0  | Suitable   |
| 2026-04-30T01:00 | 1.50             | 4.8  | Suitable   |
| 2026-04-30T02:00 | 1.50             | 4.7  | Suitable   |
| 2026-04-30T03:00 | 1.50             | 4.9  | Suitable   |
| 2026-04-30T04:00 | 1.50             | 5.1  | Suitable   |
| 2026-04-30T05:00 | 1.50             | 4.8  | Suitable   |
| 2026-04-30T06:00 | 1.50             | 4.7  | Suitable   |
| 2026-04-30T07:00 | 1.50             | 5.1  | Suitable   |
| 2026-04-30T08:00 | 1.50             | 7.6  | Suitable   |
| 2026-04-30T09:00 | 1.50             | 11.7 | Suitable   |
| 2026-04-30T10:00 | 1.50             | 15.1 | Suitable   |
| 2026-04-30T11:00 | 1.50             | 16.3 | Suitable   |
| 2026-04-30T12:00 | 1.52             | 16.8 | Suitable   |
| 2026-04-30T13:00 | 1.52             | 17.3 | Suitable   |
| 2026-04-30T14:00 | 1.54             | 17.9 | Suitable   |
