### Surf Conditions for Ericeira (Coxos) - April 26 to April 30, 2026

**Overview:**
Coxos is renowned for its long, hollow right-hand waves, making it a favorite for advanced surfers. The upcoming conditions show consistent waves in the challenging range, ideal for your skill level.

#### Hourly Ratings:
| Date & Time (UTC) | Rating     | Wave Height (m) | Wind Speed (kph) | Swell Period (s) | Remarks                      |
|--------------------|------------|------------------|-------------------|-------------------|------------------------------|
| 2026-04-26 00:00   | Challenging| 1.36             | 12.1              | 8.4               |                              |
| 2026-04-26 01:00   | Challenging| 1.36             | 13.2              | 8.4               |                              |
| 2026-04-26 02:00   | Challenging| 1.36             | 12.2              | 8.4               |                              |
| 2026-04-26 03:00   | Challenging| 1.34             | 12.6              | 8.4               |                              |
| 2026-04-26 04:00   | Challenging| 1.34             | 12.5              | 8.4               |                              |
| 2026-04-26 05:00   | Challenging| 1.32             | 11.0              | 8.4               |                              |
| 2026-04-26 06:00   | Challenging| 1.32             | 10.8              | 8.4               |                              |
| 2026-04-26 07:00   | Challenging| 1.30             | 10.2              | 8.4               |                              |
| 2026-04-26 08:00   | Challenging| 1.28             | 10.0              | 8.4               |                              |
| 2026-04-26 09:00   | Challenging| 1.26             | 11.6              | 8.4               |                              |
| 2026-04-26 10:00   | Challenging| 1.24             | 10.0              | 8.4               |                              |
| 2026-04-26 11:00   | Challenging| 1.24             | 9.9               | 8.4               |                              |
| 2026-04-26 12:00   | Challenging| 1.22             | 12.2              | 8.4               |                              |
| 2026-04-26 13:00   | Challenging| 1.22             | 15.1              | 6.95              |                              |
| 2026-04-26 14:00   | Challenging| 1.24             | 15.9              | 7.65              |                              |
| 2026-04-26 15:00   | Challenging| 1.24             | 17.7              | 7.65              |                              |
| 2026-04-26 16:00   | Challenging| 1.26             | 19.5              | 7.65              |                              |
| 2026-04-26 17:00   | Challenging| 1.28             | 19.4              | 7.65              |                              |
| 2026-04-26 18:00   | Challenging| 1.28             | 20.2              | 7.65              |                              |
| 2026-04-26 19:00   | Challenging| 1.30             | 19.4              | 6.95              |                              |
| 2026-04-26 20:00   | Challenging| 1.30             | 14.8              | 6.3               |                              |
| 2026-04-26 21:00   | Challenging| 1.30             | 12.9              | 6.3               |                              |
| 2026-04-26 22:00   | Challenging| 1.30             | 12.1              | 6.3               |                              |
| 2026-04-26 23:00   | Challenging| 1.32             | 10.7              | 6.3               |                              |
| **...**            | **...**    | **...**          | **...**           | **...**           | **...**                      |
| 2026-04-30 00:00   | Challenging| 1.50             | 5.0               | 9.35              |                              |
| 2026-04-30 01:00   | Challenging| 1.50             | 4.8               | 9.3               |                              |
| 2026-04-30 02:00   | Challenging| 1.50             | 4.7               | 9.25              |                              |
| 2026-04-30 03:00   | Challenging| 1.50             | 4.9               | 9.15              |                              |
| 2026-04-30 04:00   | Challenging| 1.50             | 5.1               | 9.1               |                              |
| 2026-04-30 05:00   | Challenging| 1.50             | 5.0               | 9.05              |                              |
| 2026-04-30 06:00   | Challenging| 1.50             | 4.7               | 9.0               |                              |
| 2026-04-30 07:00   | Challenging| 1.50             | 5.1               | 8.95              |                              |
| 2026-04-30 08:00   | Challenging| 1.50             | 7.6               | 8.9               |                              |
| 2026-04-30 09:00   | Challenging| 1.50             | 11.7              | 8.85              |                              |
| 2026-04-30 10:00   | Challenging| 1.50             | 15.1              | 8.8               |                              |
| 2026-04-30 11:00   | Challenging| 1.50             | 16.3              | 8.55              |                              |
| 2026-04-30 12:00   | Challenging| 1.52             | 16.8              | 8.35              |                              |
| 2026-04-30 13:00   | Challenging| 1.52             | 17.3              | 8.65              |                              |
| 2026-04-30 14:00   | Challenging| 1.54             | 17.9              | 10.1              |                              |
| 2026-04-30 15:00   | Challenging| 1.54             | 18.4              | 12.05             |                              |
| 2026-04-30 16:00   | Challenging| 1.56             | 18.3              | 13.45             |                              |
| 2026-04-30 17:00   | Challenging| 1.56             | 17.7              | 13.7              |                              |
| 2026-04-30 18:00   | Challenging| 1.58             | 16.5              | 13.3              |                              |
| 2026-04-30 19:00   | Challenging| 1.58             | 14.8              | 12.95             |                              |
| 2026-04-30 20:00   | Challenging| 1.60             | 11.3              | 12.75             |                              |
| 2026-04-30 21:00   | Challenging| 1.60             | 6.4               | 12.6              |                              |
| 2026-04-30 22:00   | Challenging| 1.62             | 2.8               | 12.45             |                              |
| 2026-04-30 23:00   | Challenging| 1.62             | 1.8               | 12.35             |                              |

### Best Surf Windows
- **April 28, 2026**: Early morning hours (00:00 - 08:00) show excellent conditions with wave heights around 1.4m, gentle winds, and a swell period of 9s.
- **April 29, 2026**: Consistent
