### Surf Conditions at Coxos, Ericeira from April 26 to April 30, 2026

#### Overview
- **Spot**: Coxos
- **Skill Level**: Advanced
- **Break Type**: Reef, Right-hand waves
- **Hazards**: Strong currents, rocks
- **Safety**: All assessed hours are safe for advanced surfers.

---

### Hourly Ratings

**April 26, 2026**
| Time (UTC) | Rating    | Wave Height (m) | Wind Speed (kph) | Swell Period (s) | Reasoning |
|------------|-----------|------------------|-------------------|-------------------|-----------|
| 00:00      | Challenging | 1.36             | 12.1              | 8.4               | Waves 1.4m within range; Wind acceptable; Decent swell period. |
| 01:00      | Challenging | 1.36             | 13.2              | 8.4               | Similar conditions. |
| 02:00      | Challenging | 1.36             | 12.2              | 8.4               | Similar conditions. |
| 03:00      | Challenging | 1.34             | 12.6              | 8.4               | Similar conditions. |
| 04:00      | Challenging | 1.34             | 12.5              | 8.4               | Similar conditions. |
| 05:00      | Challenging | 1.32             | 11.0              | 8.4               | Similar conditions. |
| 06:00      | Challenging | 1.32             | 10.8              | 8.4               | Similar conditions. |
| 07:00      | Challenging | 1.30             | 10.2              | 8.4               | Similar conditions. |
| 08:00      | Challenging | 1.28             | 10.0              | 8.4               | Similar conditions. |
| 09:00      | Challenging | 1.26             | 11.6              | 8.4               | Similar conditions. |
| 10:00      | Challenging | 1.24             | 10.0              | 8.4               | Similar conditions. |
| 11:00      | Challenging | 1.24             | 9.9               | 8.4               | Similar conditions. |
| 12:00      | Challenging | 1.22             | 12.2              | 8.4               | Similar conditions. |
| 13:00      | Challenging | 1.22             | 15.1              | 6.95              | Shorter swell period. |
| 14:00      | Challenging | 1.24             | 15.9              | 7.65              | Similar conditions. |
| 15:00      | Challenging | 1.24             | 17.7              | 7.65              | Similar conditions. |
| 16:00      | Challenging | 1.26             | 19.5              | 7.65              | Similar conditions. |
| 17:00      | Challenging | 1.28             | 19.4              | 7.65              | Similar conditions. |
| 18:00      | Challenging | 1.28             | 20.2              | 7.65              | Similar conditions. |
| 19:00      | Challenging | 1.30             | 19.4              | 6.95              | Similar conditions. |
| 20:00      | Challenging | 1.30             | 14.8              | 6.3               | Shorter swell period. |
| 21:00      | Challenging | 1.30             | 12.9              | 6.3               | Similar conditions. |
| 22:00      | Challenging | 1.30             | 12.1              | 6.3               | Similar conditions. |
| 23:00      | Challenging | 1.32             | 10.7              | 6.3               | Similar conditions. |

**April 27, 2026**
| Time (UTC) | Rating    | Wave Height (m) | Wind Speed (kph) | Swell Period (s) | Reasoning |
|------------|-----------|------------------|-------------------|-------------------|-----------|
| 00:00      | Challenging | 1.32             | 11.8              | 6.3               | Similar conditions. |
| 01:00      | Challenging | 1.34             | 11.9              | 6.3               | Similar conditions. |
| 02:00      | Challenging | 1.34             | 10.2              | 6.3               | Similar conditions. |
| 03:00      | Challenging | 1.36             | 9.1               | 6.95              | Similar conditions. |
| 04:00      | Challenging | 1.36             | 8.6               | 7.65              | Similar conditions. |
| 05:00      | Challenging | 1.36             | 8.7               | 7.65              | Similar conditions. |
| 06:00      | Challenging | 1.36             | 8.2               | 7.65              | Similar conditions. |
| 07:00      | Challenging | 1.36             | 6.9               | 7.65              | Similar conditions. |
| 08:00      | Challenging | 1.38             | 5.8               | 7.65              | Similar conditions. |
| 09:00      | Challenging | 1.38             | 4.8               | 7.65              | Similar conditions. |
| 10:00      | Challenging | 1.40             | 4.0               | 7.65              | Similar conditions. |
| 11:00      | Challenging | 1.40             | 4.5               | 7.65              | Similar conditions. |
| 12:00      | Challenging | 1.40             | 5.6               | 7.65              | Similar conditions. |
| 13:00      | Challenging | 1.40             | 7.9               | 7.65              | Similar conditions. |
| 14:00      | Challenging | 1.40             | 10.0              | 7.65              | Similar conditions. |
| 15:00      | Challenging | 1.40             | 12.4              | 7.65              | Similar conditions. |
| 16:00      | Challenging | 1.40             | 10.7              | 7.65              | Similar conditions. |
| 17:00      | Challenging | 1.40             | 10.2              | 7.65              | Similar conditions. |
| 18:00      | Challenging | 1.42             | 9.7               | 7.65              | Similar conditions. |
| 19:00      | Challenging | 1.42             | 9.8               | 7.65              | Similar conditions. |
| 20:00      | Challenging | 1.42             | 9.4               | 7.65              | Similar conditions. |
| 21:00      | Challenging | 1.40             | 7.2               | 7.65              | Similar conditions. |
| 22:00      | Challenging | 1.40             | 7.0               | 7.65              | Similar conditions. |
| 23:00      | Challenging | 1.40             | 6.5               | 7.65              | Similar conditions. |

**April 28, 2026**
| Time (UTC) | Rating    | Wave Height (m) | Wind Speed (kph) | Swell Period (s) | Reasoning |
|------------|-----------|------------------|-------------------|-------------------|-----------|
| 00:00      | Challenging | 1.38             | 5.8               | 7.65              | Similar conditions. |
| 01:00      | Challenging | 1.38             | 5.0               | 7.65              | Similar conditions. |
| 02:00      | Challenging | 1.38             | 5.4               | 8.4               | Similar conditions. |
| 03:00      | Challenging | 1.40             | 5.4               | 8.4               | Similar conditions. |
| 04:00      | Challenging | 1.40             | 5.2               | 9.25              | Similar conditions. |
| 05:00      | Challenging | 1.42             | 6.1               | 9.25              | Similar
