### Surf Session Ratings for Praia do Guincho

| Timestamp          | Wave Height Avg (m) | Wind Speed (kph) | Rating      |
|--------------------|----------------------|-------------------|-------------|
| 2026-04-26T00:00   | 1.36                 | 17.6              | Suitable    |
| 2026-04-26T01:00   | 1.36                 | 18.0              | Suitable    |
| 2026-04-26T02:00   | 1.34                 | 17.3              | Suitable    |
| 2026-04-26T03:00   | 1.34                 | 18.0              | Suitable    |
| 2026-04-26T04:00   | 1.32                 | 16.6              | Suitable    |
| 2026-04-26T05:00   | 1.30                 | 16.6              | Suitable    |
| 2026-04-26T06:00   | 1.26                 | 15.5              | Suitable    |
| 2026-04-26T07:00   | 1.24                 | 13.8              | Ideal       |
| 2026-04-26T08:00   | 1.22                 | 11.6              | Ideal       |
| 2026-04-26T09:00   | 1.18                 | 10.5              | Ideal       |
| 2026-04-26T10:00   | 1.16                 | 8.3               | Ideal       |
| 2026-04-26T11:00   | 1.14                 | 10.1              | Ideal       |
| 2026-04-26T12:00   | 1.14                 | 11.8              | Ideal       |
| 2026-04-26T13:00   | 1.12                 | 15.0              | Suitable    |
| 2026-04-26T14:00   | 1.14                 | 18.1              | Suitable    |
| 2026-04-26T15:00   | 1.18                 | 16.5              | Suitable    |
| 2026-04-26T16:00   | 1.20                 | 17.0              | Suitable    |
| 2026-04-26T17:00   | 1.22                 | 19.6              | Suitable    |
| 2026-04-26T18:00   | 1.24                 | 20.5              | Suitable    |
| 2026-04-26T19:00   | 1.26                 | 20.7              | Suitable    |
| 2026-04-26T20:00   | 1.26                 | 19.5              | Suitable    |
| 2026-04-26T21:00   | 1.26                 | 19.4              | Suitable    |
| 2026-04-26T22:00   | 1.26                 | 18.4              | Suitable    |
| 2026-04-26T23:00   | 1.26                 | 17.3              | Suitable    |

### Best Continuous Window(s) for Surfing
- **Start:** 2026-04-26T07:00  
  **End:** 2026-04-26T12:00  
  **Duration:** 5 hours  
  **Notes:** This window has the ideal conditions with wave heights below 1.5 m and wind speeds under 15 kph.

### Flags for Unsafe Conditions
- No hours recorded wave heights > 3.8 m or wind speeds > 30 kph, so there are no hours flagged as unsafe.
