### Surf Session Ratings for Hossegor

| Timestamp (UTC)       | Wave Height (m) | Wind Speed (kph) | Rating      | Comments                                       |
|-----------------------|------------------|------------------|-------------|------------------------------------------------|
| 2026-05-12T00:00      | 0.9              | 14.6             | Ideal       | Good conditions for intermediate surfers.      |
| 2026-05-12T01:00      | 0.88             | 13.2             | Ideal       | Consistent wave height.                        |
| 2026-05-12T02:00      | 0.88             | 11.7             | Ideal       | Calm winds and good waves.                     |
| 2026-05-12T03:00      | 0.86             | 6.1              | Ideal       | Excellent surf conditions.                     |
| 2026-05-12T04:00      | 0.84             | 8.9              | Ideal       | Ideal for surfing with offshore winds.        |
| 2026-05-12T05:00      | 0.84             | 9.2              | Ideal       | Good wave height.                             |
| 2026-05-12T06:00      | 0.82             | 9.0              | Ideal       | Offshore wind improves conditions.             |
| 2026-05-12T07:00      | 0.82             | 8.0              | Ideal       | Consistent and manageable waves.               |
| 2026-05-12T08:00      | 0.8              | 3.3              | Suitable    | Waves still manageable, light winds.          |
| 2026-05-12T09:00      | 0.8              | 10.1             | Suitable    | Good conditions, but wind increases.          |
| 2026-05-12T10:00      | 0.8              | 19.3             | Suitable    | Manageable conditions for intermediate surfers.|
| 2026-05-12T11:00      | 0.78             | 10.9             | Suitable    | Consistent wave height.                        |
| 2026-05-12T12:00      | 0.78             | 15.0             | Suitable    | Waves still good for surfing.                  |
| 2026-05-12T13:00      | 0.78             | 19.3             | Suitable    | Maintainable conditions for surfing.           |
| 2026-05-12T14:00      | 0.8              | 20.2             | Challenging | Wind starts to pick up, caution advised.      |
| 2026-05-12T15:00      | 0.8              | 19.0             | Challenging | Wind remains high, challenging surf.          |
| 2026-05-12T16:00      | 0.8              | 20.2             | Challenging | Wind continues to challenge conditions.        |
| 2026-05-12T17:00      | 0.82             | 23.2             | Challenging | Higher wind speeds make conditions tricky.     |
| 2026-05-12T18:00      | 0.82             | 24.3             | Challenging | Increased wind makes it more difficult.       |
| 2026-05-12T19:00      | 0.82             | 22.8             | Challenging | Higher winds continue, caution advised.        |
| 2026-05-12T20:00      | 0.84             | 22.1             | Challenging | Wind impacts surfability.                      |
| 2026-05-12T21:00      | 0.84             | 19.5             | Challenging | Conditions remain challenging.                  |
| 2026-05-12T22:00      | 0.82             | 18.1             | Challenging | Wind conditions still high.                    |
| 2026-05-12T23:00      | 0.82             | 16.1             | Challenging | Conditions begin to improve slightly.         |
| 2026-05-13T00:00      | 0.8              | 15.8             | Challenging | Wind still impacts performance.                |
| 2026-05-13T01:00      | 0.8              | 17.7             | Challenging | Manageable but requires caution.               |
| 2026-05-13T02:00      | 0.8              | 20.8             | Challenging | Winds continue to make it difficult.          |
| 2026-05-13T03:00      | 0.8              | 18.6             | Challenging | Conditions remain challenging.                  |
| 2026-05-13T04:00      | 0.82             | 26.5             | Challenging | High winds, challenging conditions.            |
| 2026-05-13T05:00      | 0.84             | 18.1             | Challenging | Conditions continue to be difficult.           |
| 2026-05-13T06:00      | 0.86             | 24.1             | Challenging | Wind impacts performance.                      |
| 2026-05-13T07:00      | 0.88             | 26.2             | Challenging | Challenging conditions persist.                |
| 2026-05-13T08:00      | 0.92             | 25.6             | Challenging | Wind remains high.                             |
| 2026-05-13T09:00      | 0.94             | 24.2             | Challenging | Conditions still challenging.                  |
| 2026-05-13T10:00      | 0.96             | 22.3             | Challenging | Manageable but requires caution.               |
