### Surf Session Ratings

| Time (UTC)           | Wave Height (m) | Wind Speed (kph) | Rating      | Notes                                             |
|----------------------|------------------|-------------------|-------------|---------------------------------------------------|
| 2026-05-12T00:00     | 0.9              | 14.6              | Ideal       | Ideal conditions with moderate wave height.       |
| 2026-05-12T01:00     | 0.88             | 13.2              | Ideal       | Consistent wave height and low wind.              |
| 2026-05-12T02:00     | 0.88             | 11.7              | Ideal       | Favorable conditions continue.                     |
| 2026-05-12T03:00     | 0.86             | 6.1               | Ideal       | Great for intermediate surfers.                    |
| 2026-05-12T04:00     | 0.84             | 8.9               | Ideal       | Offshore wind, perfect for surfing.               |
| 2026-05-12T05:00     | 0.84             | 9.2               | Ideal       | Consistent, good wave conditions.                  |
| 2026-05-12T06:00     | 0.82             | 9.0               | Ideal       | Stable conditions, ideal for long sessions.       |
| 2026-05-12T07:00     | 0.82             | 8.0               | Ideal       | Morning session with excellent conditions.         |
| 2026-05-12T08:00     | 0.8              | 3.3               | Ideal       | Calm winds, great for beginners too.              |
| 2026-05-12T09:00     | 0.8              | 10.1              | Ideal       | Slightly stronger wind, but still ideal.          |
| 2026-05-12T10:00     | 0.8              | 19.3              | Suitable    | Still good, but wind increasing.                   |
| 2026-05-12T11:00     | 0.78             | 10.9              | Suitable    | Wave height stable, manageable conditions.         |
| 2026-05-12T12:00     | 0.78             | 15.0              | Suitable    | Increasing wind, but waves are still good.        |
| 2026-05-12T13:00     | 0.78             | 19.3              | Suitable    | Conditions still manageable for surfing.           |
| 2026-05-12T14:00     | 0.8              | 20.2              | Suitable    | Approaching challenging conditions.                 |
| 2026-05-12T15:00     | 0.8              | 19.0              | Suitable    | Good for experienced surfers.                       |
| 2026-05-12T16:00     | 0.8              | 20.2              | Suitable    | Windy, but waves remain consistent.                |
| 2026-05-12T17:00     | 0.82             | 23.2              | Challenging | Wind is strong, conditions not ideal.              |
| 2026-05-12T18:00     | 0.82             | 24.3              | Challenging | Wind increasing, waves manageable but tough.      |
| 2026-05-12T19:00     | 0.82             | 22.8              | Challenging | Continuing strong winds, caution advised.         |
| 2026-05-12T20:00     | 0.84             | 22.1              | Challenging | Wind remains high, not ideal for intermediate.    |
| 2026-05-12T21:00     | 0.84             | 19.5              | Challenging | Still windy, best for experienced surfers.        |
| 2026-05-12T22:00     | 0.82             | 18.1              | Challenging | Wind calming slightly, but still not ideal.       |
| 2026-05-12T23:00     | 0.82             | 16.1              | Challenging | Wind reducing, conditions improving slightly.      |
| 2026-05-13T00:00     | 0.8              | 15.8              | Suitable    | Conditions are stabilizing, manageable.           |
| 2026-05-13T01:00     | 0.8              | 17.7              | Suitable    | Similar conditions persist.                        |
| 2026-05-13T02:00     | 0.8              | 20.8              | Suitable    | Approaching challenging conditions.                 |
| 2026-05-13T03:00     | 0.8              | 18.6              | Suitable    | Stable, manageable conditions.                     |
| 2026-05-13T04:00     | 0.82             | 26.5              | Challenging | Strong winds, conditions becoming less favorable.  |
| 2026-05-13T05:00     | 0.84             | 18.1              | Suitable    | Wind calming, waves remain stable.                  |
| 2026-05-13T06:00     | 0.86             | 24.1              | Challenging | Wind remaining high, caution advised.              |
| 2026-05-13T07:00     | 0.88             | 26.2              | Challenging | Strong conditions, not ideal for intermediates.   |
| 2026-05-13T08:00     | 0.92             | 25.6              | Challenging | Conditions toughening, best for advanced surfers.  |
| 2026-05-13T09:00     | 0.94             | 24.2              | Challenging | Continuing strong winds, caution required.        |
| 2026-05-13T10:00     | 0.96             | 22.3              | Challenging | Windy, challenging for most surfers.              |
| 2026-05-13T11:00     | 0.98             | 23.4              | Challenging | Similar tough conditions persist.                  |
