### Surf Session Ratings

| Timestamp (UTC)        | Wave Height (m) | Wind Speed (kph) | Rating      |
|------------------------|------------------|-------------------|-------------|
| 2026-05-12T00:00      | 0.9              | 14.6              | Ideal       |
| 2026-05-12T01:00      | 0.88             | 13.2              | Ideal       |
| 2026-05-12T02:00      | 0.88             | 11.7              | Ideal       |
| 2026-05-12T03:00      | 0.86             | 6.1               | Ideal       |
| 2026-05-12T04:00      | 0.84             | 8.9               | Ideal       |
| 2026-05-12T05:00      | 0.84             | 9.2               | Ideal       |
| 2026-05-12T06:00      | 0.82             | 9.0               | Ideal       |
| 2026-05-12T07:00      | 0.82             | 8.0               | Ideal       |
| 2026-05-12T08:00      | 0.8              | 3.3               | Ideal       |
| 2026-05-12T09:00      | 0.8              | 10.1              | Ideal       |
| 2026-05-12T10:00      | 0.8              | 19.3              | Suitable    |
| 2026-05-12T11:00      | 0.78             | 10.9              | Ideal       |
| 2026-05-12T12:00      | 0.78             | 15.0              | Suitable    |
| 2026-05-12T13:00      | 0.78             | 19.3              | Suitable    |
| 2026-05-12T14:00      | 0.8              | 20.2              | Suitable    |
| 2026-05-12T15:00      | 0.8              | 19.0              | Suitable    |
| 2026-05-12T16:00      | 0.8              | 20.2              | Suitable    |
| 2026-05-12T17:00      | 0.82             | 23.2              | Challenging |
| 2026-05-12T18:00      | 0.82             | 24.3              | Challenging |
| 2026-05-12T19:00      | 0.82             | 22.8              | Challenging |
| 2026-05-12T20:00      | 0.84             | 22.1              | Challenging |
| 2026-05-12T21:00      | 0.84             | 19.5              | Suitable    |
| 2026-05-12T22:00      | 0.82             | 18.1              | Suitable    |
| 2026-05-12T23:00      | 0.82             | 16.1              | Suitable    |
| 2026-05-13T00:00      | 0.8              | 15.8              | Suitable    |
| 2026-05-13T01:00      | 0.8              | 17.7              | Suitable    |
| 2026-05-13T02:00      | 0.8              | 20.8              | Suitable    |
| 2026-05-13T03:00      | 0.8              | 18.6              | Suitable    |
| 2026-05-13T04:00      | 0.82             | 26.5              | Challenging |
| 2026-05-13T05:00      | 0.84             | 18.1              | Suitable    |
| 2026-05-13T06:00      | 0.86             | 24.1              | Challenging |
| 2026-05-13T07:00      | 0.88             | 26.2              | Challenging |
| 2026-05-13T08:00      | 0.92             | 25.6              | Challenging |
| 2026-05-13T09:00      | 0.94             | 24.2              | Challenging |
| 2026-05-13T10:00      | 0.96             | 22.3              | Challenging |
| 2026-05-13T11:00      | 0.98             | 23.4              | Challenging |
| 2026-05-13T12:00      | 1.0              | 24.0              | Challenging |
| 2026-05-13T13:00      | 1.04             | 25.5              | Challenging |
| 2026-05-13T14:00      | 1.06             | 27.9              | Challenging |
| 2026-05-13T15:00      | 1.1              | 29.0              | Challenging |
| 2026-05-13T16:00      | 1.12             | 30.6              | Challenging |
| 2026-05-13T17:00      | 1.16             | 31.9              | Challenging |
| 2026-05-13T18:00      | 1.18             | 32.7              | Challenging |
| 2026-05-13T19:00      | 1.2              | 30.4              | Challenging |
| 2026-05-13T20:00      | 1.24             | 27.1              | Challenging |
| 2026-05-13T21:00      | 1.26             | 28.5              | Challenging |
| 2026-05-13T22:00      | 1.3              | 29.2              | Challenging |
| 2026-05-13T23:00      | 1.36             | 32.9              | Challenging |
| 2026-05-14T00:00      | 1.4              | 34.8              | Unsafe      |
| 2026-05-14T01:00      | 1.5              | 37.9              | Unsafe      |
| 2026-05-14T02:00      | 1.6              | 39.9              | Unsafe      |
| 2026-05-14T03:00      | 1.7              | 43.8              | Unsafe      |
| 2026-05-14T04:00      | 1.8              | 46.1              | Unsafe      |
| 2026-05-14T05:00      | 1.92             | 39.4              | Unsafe      |
| 2026-05-14T06:00      | 2.02             | 33.8              | Unsafe      |
| 2026-05-14T07:00      | 2.06             | 28.7              | Unsafe      |
| 2026-05-14T08:00      | 2.1              | 32.1              | Unsafe      |
| 2026-05-14T09:00      | 2.14             | 29.0              | Unsafe      |
| 2026-05-14T10:00      | 2.2              | 29.8              | Unsafe      |
| 2026-05-14T11:00      | 2.28             | 29.9              | Unsafe      |
| 2026-05-14T12:00      | 2.34             | 29.6              | Unsafe      |
| 2026-05-14T13:00      | 2.4              | 28.2              | Unsafe      |
| 2026-05-14T14:00      | 2.48             | 37.0              | Unsafe      |
| 2026-05-14T15:00      | 2.54             | 37.2              | Unsafe      |
| 2026-05-14T16:00      | 2.6              | 41.9              | Unsafe      |
| 2026-05-14T17:00      | 2.66             | 33.7              | Unsafe      |
| 2026-05-14T18:00      | 2.72             | 39.0              | Unsafe      |
| 2026-05-14T19:00      | 2.78             | 41.9              | Unsafe      |
| 2026-05-14T20:00      | 2.86             | 43.6              | Unsafe      |
| 2026-05-14T21:00      | 2.92             | 35.1              | Unsafe      |
| 2026-05-14T22:00      | 3.04             | 28.9              | Unsafe      |
| 2026-05-14T23:00      | 3.14             | 35.1              | Unsafe      |
| 2026-05-15T00:00      | 3.26             | 29.3              | Unsafe      |
| 2026-05-15T01:00      | 3.32             | 25.5              | Unsafe      |
