### Surf Conditions for Hossegor, France (May 12-16, 2026)

#### Overview
Hossegor is known for its challenging surf conditions, particularly suited to more experienced surfers. As a beginner, you may find that many hours during your requested dates are rated as **challenging** or **unsafe**.

### Hourly Conditions
Here's how the surf conditions break down by hour, specifically for the times you’re interested in:

#### May 12, 2026
| Time (UTC)         | Rating     | Wave Height (m) | Wind Speed (kph) | Reasoning                                      |
|---------------------|------------|------------------|-------------------|------------------------------------------------|
| 00:00               | Challenging| 0.9              | 15.0              | Short swell period (5s) → challenging          |
| 01:00               | Challenging| 0.9              | 13.2              | Short swell period (7s) → challenging          |
| 02:00               | Challenging| 0.9              | 12.0              | Short swell period (6s) → challenging          |
| 03:00               | Challenging| 0.9              | 6.1               | Short swell period (6s) → challenging          |
| 04:00               | Suitable   | 0.8              | 9.0               | Short swell period (6s) → suitable             |
| 05:00               | Suitable   | 0.8              | 9.2               | Short swell period (6s) → suitable             |
| 06:00               | Suitable   | 0.8              | 9.0               | Short swell period (6s) → suitable             |
| 07:00               | Challenging| 0.8              | 8.0               | Short swell period (6s) → challenging          |
| 08:00               | Challenging| 0.8              | 3.3               | Short swell period (6s) → challenging          |
| 09:00               | Challenging| 0.8              | 10.1              | Short swell period (6s) → challenging          |
| 10:00               | Challenging| 0.8              | 19.3              | Wind too strong → challenging                  |
| 11:00               | Challenging| 0.8              | 10.9              | Short swell period (6s) → challenging          |
| 12:00               | Challenging| 0.8              | 15.0              | Short swell period (5s) → challenging          |
| 13:00               | Challenging| 0.8              | 19.3              | Wind too strong → challenging                  |
| 14:00               | Challenging| 0.8              | 20.2              | Wind too strong → challenging                  |
| 15:00               | Challenging| 0.8              | 19.0              | Wind too strong → challenging                  |
| 16:00               | Challenging| 0.8              | 20.2              | Wind too strong → challenging                  |
| 17:00               | **Unsafe** | 0.8              | 23.2              | Wind too strong → unsafe                       |
| 18:00               | **Unsafe** | 0.8              | 24.3              | Wind too strong → unsafe                       |
| 19:00               | **Unsafe** | 0.8              | 22.8              | Wind too strong → unsafe                       |
| 20:00               | Challenging| 0.8              | 22.1              | Wind too strong → challenging                  |
| 21:00               | Challenging| 0.8              | 19.5              | Wind too strong → challenging                  |
| 22:00               | Challenging| 0.8              | 18.1              | Wind too strong → challenging                  |
| 23:00               | Challenging| 0.8              | 16.1              | Wind too strong → challenging                  |

#### May 13, 2026
| Time (UTC)         | Rating     | Wave Height (m) | Wind Speed (kph) | Reasoning                                      |
|---------------------|------------|------------------|-------------------|------------------------------------------------|
| 00:00               | Challenging| 0.8              | 16.0              | Wind too strong → challenging                  |
| 01:00               | Challenging| 0.8              | 17.7              | Wind too strong → challenging                  |
| 02:00               | Challenging| 0.8              | 20.8              | Wind too strong → challenging                  |
| 03:00               | Challenging| 0.8              | 18.6              | Wind too strong → challenging                  |
| 04:00               | **Unsafe** | 0.8              | 26.5              | Wind too strong → unsafe                       |
| 05:00               | Challenging| 0.8              | 18.1              | Wind too strong → challenging                  |
| 06:00               | **Unsafe** | 0.9              | 24.1              | Wind too strong → unsafe                       |
| 07:00               | **Unsafe** | 0.9              | 26.2              | Wind too strong → unsafe                       |
| 08:00               | **Unsafe** | 0.9              | 25.6              | Wind too strong → unsafe                       |
| 09:00               | **Unsafe** | 0.9              | 24.2              | Wind too strong → unsafe                       |
| 10:00               | Challenging| 1.0              | 22.3              | Wind too strong → challenging                  |
| 11:00               | **Unsafe** | 1.0              | 23.4              | Wind too strong → unsafe                       |
| 12:00               | **Unsafe** | 1.0              | 24.0              | Wind too strong → unsafe                       |
| 13:00               | **Unsafe** | 1.0              | 25.5              | Wind too strong → unsafe                       |
| 14:00               | **Unsafe** | 1.1              | 27.9              | Wind too strong → unsafe                       |
| 15:00               | **Unsafe** | 1.1              | 29.0              | Wind too strong → unsafe                       |
| 16:00               | **Unsafe** | 1.1              | 30.6              | Wind too strong → unsafe                       |
| 17:00               | **Unsafe** | 1.2              | 31.9              | Wind too strong → unsafe                       |
| 18:00               | **Unsafe** | 1.2              | 32.7              | Wind too strong → unsafe                       |
| 19:00               | **Unsafe** | 1.2              | 30.4              | Wind too strong → unsafe                       |
| 20:00               | **Unsafe** | 1.2              | 27.1              | Wind too strong → unsafe                       |
| 21:00               | **Unsafe** | 1.3              | 28.5              | Wind too strong → unsafe                       |
| 22:00               | **Unsafe** | 1.3              | 29.2              | Wind too strong → unsafe                       |
| 23:00               | **Unsafe** | 1.4              | 32.9              | Wind too strong → unsafe                       |

#### May 14, 2026
| Time (UTC)         | Rating     | Wave Height (m) | Wind Speed (kph) | Reasoning                                      |
|---------------------|------------|------------------|-------------------|------------------------------------------------|
| 00:00               | **Unsafe** | 1.4              | 34.8              | Wind too strong → unsafe                       |
| 01:00               | **Unsafe** | 1.5              | 37.9              | Wind too strong → unsafe                       |
| 02:00               | **Unsafe** | 1.6              | 39.9              | Wind too strong → unsafe                       |
| 03:00               | **Unsafe** | 1.7              | 43.8              | Wind too strong → unsafe                       |
| 04:00               | **Unsafe** | 1.8              | 46.1              | Wind too strong → unsafe                       |
| 05:00               | **Unsafe** | 1.9              | 39.4              | Wind too strong → unsafe                       |
| 06:00               | **Unsafe** | 2.0              | 33.8              | Wind too strong → unsafe                       |
| 07:00               | **Unsafe** | 2.1              | 28.7              | Wind too strong → unsafe                       |
| 08:00               | **Unsafe** | 2.1              | 32.1              | Wind too strong → unsafe                       |
| 09:00               | **Unsafe** | 2.1              | 29.0              | Wind too strong →
