### Surf Session Ratings

| Timestamp              | Wave Height (m) | Wind Speed (kph) | Rating     | Comments                                      |
|-----------------------|------------------|-------------------|------------|-----------------------------------------------|
| 2026-05-12T00:00      | 2.14             | 9.4               | Suitable   | Good conditions for experienced surfers.     |
| 2026-05-12T01:00      | 2.10             | 9.7               | Suitable   | Stable wave height and moderate wind.        |
| 2026-05-12T02:00      | 2.06             | 8.9               | Suitable   | Calm winds and consistent swell.              |
| 2026-05-12T03:00      | 2.02             | 12.3              | Suitable   | Wave height remains manageable.               |
| 2026-05-12T04:00      | 2.04             | 14.8              | Suitable   | Slight increase in wind, but still good.     |
| 2026-05-12T05:00      | 2.04             | 23.3              | Challenging | Higher wind speeds affecting conditions.      |
| 2026-05-12T06:00      | 2.06             | 26.3              | Challenging | Wind increasing; may affect surf quality.     |
| 2026-05-12T07:00      | 2.08             | 26.5              | Challenging | Continued strong wind; waves manageable.      |
| 2026-05-12T08:00      | 2.10             | 23.0              | Challenging | Wind affecting performance; caution advised.  |
| 2026-05-12T09:00      | 2.12             | 19.4              | Suitable   | Wind calming, good swell height.              |
| 2026-05-12T10:00      | 2.14             | 15.9              | Ideal      | Perfect conditions for advanced surfers.      |
| 2026-05-12T11:00      | 2.16             | 12.3              | Ideal      | Excellent wave height and manageable wind.    |
| 2026-05-12T12:00      | 2.18             | 18.6              | Suitable   | Waves still good, slight wind increase.       |
| 2026-05-12T13:00      | 2.20             | 23.2              | Challenging | Wind increasing; caution advised.              |
| 2026-05-12T14:00      | 2.22             | 21.1              | Challenging | Similar conditions; keep an eye on wind.     |
| 2026-05-12T15:00      | 2.24             | 28.4              | Challenging | Strong winds; may affect performance.         |
| 2026-05-12T16:00      | 2.28             | 30.8              | Challenging | High winds; surfable but difficult.          |
| 2026-05-12T17:00      | 2.30             | 32.5              | Challenging | Wind increasing; challenging conditions.      |
| 2026-05-12T18:00      | 2.34             | 28.5              | Challenging | Manageable waves but windy.                   |
| 2026-05-12T19:00      | 2.36             | 27.4              | Challenging | Winds remain high; caution advised.           |
| 2026-05-12T20:00      | 2.38             | 26.3              | Challenging | High winds and moderate waves.                |
| 2026-05-12T21:00      | 2.40             | 28.1              | Challenging | Similar conditions to previous hour.          |
| 2026-05-12T22:00      | 2.42             | 28.6              | Challenging | Winds persistent; be cautious.                 |
| 2026-05-12T23:00      | 2.44             | 29.6              | Challenging | Challenging conditions due to wind.           |
| 2026-05-13T00:00      | 2.46             | 31.9              | Challenging | Strong winds; not ideal for surfing.          |
| 2026-05-13T01:00      | 2.46             | 34.5              | Challenging | Conditions worsening; caution needed.         |
| 2026-05-13T02:00      | 2.46             | 35.4              | Challenging | Wind speed increasing significantly.          |
| 2026-05-13T03:00      | 2.46             | 32.5              | Challenging | Less wind, still tricky.                       |
| 2026-05-13T04:00      | 2.48             | 31.0              | Challenging | Continued high winds; caution advised.        |
