### Surf Session Ratings and Recommendations at Jeffreys Bay

#### Hourly Ratings
| Timestamp          | Wave Height (m) | Wind Speed (kph) | Rating         |
|--------------------|------------------|-------------------|-----------------|
| 2026-05-12T00:00   | 2.14             | 9.4               | Suitable        |
| 2026-05-12T01:00   | 2.10             | 9.7               | Suitable        |
| 2026-05-12T02:00   | 2.06             | 8.9               | Suitable        |
| 2026-05-12T03:00   | 2.02             | 12.3              | Suitable        |
| 2026-05-12T04:00   | 2.04             | 14.8              | Suitable        |
| 2026-05-12T05:00   | 2.04             | 23.3              | **Unsafe**      |
| 2026-05-12T06:00   | 2.06             | 26.3              | **Unsafe**      |
| 2026-05-12T07:00   | 2.08             | 26.5              | **Unsafe**      |
| 2026-05-12T08:00   | 2.10             | 23.0              | **Unsafe**      |
| 2026-05-12T09:00   | 2.12             | 19.4              | Suitable        |
| 2026-05-12T10:00   | 2.14             | 15.9              | Suitable        |
| 2026-05-12T11:00   | 2.16             | 12.3              | Suitable        |
| 2026-05-12T12:00   | 2.18             | 18.6              | Suitable        |
| 2026-05-12T13:00   | 2.20             | 23.2              | **Unsafe**      |
| 2026-05-12T14:00   | 2.22             | 21.1              | **Unsafe**      |
| 2026-05-12T15:00   | 2.24             | 28.4              | **Unsafe**      |
| 2026-05-12T16:00   | 2.28             | 30.8              | **Unsafe**      |
| 2026-05-12T17:00   | 2.30             | 32.5              | **Unsafe**      |
| 2026-05-12T18:00   | 2.34             | 28.5              | **Unsafe**      |
| 2026-05-12T19:00   | 2.36             | 27.4              | **Unsafe**      |
| 2026-05-12T20:00   | 2.38             | 26.3              | **Unsafe**      |
| 2026-05-12T21:00   | 2.40             | 28.1              | **Unsafe**      |
| 2026-05-12T22:00   | 2.42             | 28.6              | **Unsafe**      |
| 2026-05-12T23:00   | 2.44             | 29.6              | **Unsafe**      |
| 2026-05-13T00:00   | 2.46             | 31.9              | **Unsafe**      |
| 2026-05-13T01:00   | 2.46             | 34.5              | **Unsafe**      |
| 2026-05-13T02:00   | 2.46             | 35.4              | **Unsafe**      |
| 2026-05-13T03:00   | 2.46             | 32.5              | **Unsafe**      |
| 2026-05-13T04:00   | 2.48             | 31.0              | **Unsafe**      |
| 2026-05-13T05:00   | 2.48             | 30.5              | **Unsafe**      |
| 2026-05-13T06:00   | 2.50             | 28.8              | **Unsafe**      |
| 2026-05-13T07:00   | 2.54             | 31.0              | **Unsafe**      |
| 2026-05-13T08:00   | 2.56             | 33.5              | **Unsafe**      |
| 2026-05-13T09:00   | 2.60             | 38.3              | **Unsafe**      |
| 2026-05-13T10:00   | 2.62             | 34.6              | **Unsafe**      |
| 2026-05-13T11:00   | 2.64             | 30.4              | **Unsafe**      |
| 2026-05-13T12:00   | 2.66             | 32.0              | **Unsafe**      |
| 2026-05-13T13:00   | 2.62             | 25.2              | **Unsafe**      |
| 2026-05-13T14:00   | 2.58             | 23.8              | **Unsafe**      |
| 2026-05-13T15:00   | 2.54             | 25.2              | **Unsafe**      |
| 2026-05-13T16:00   | 2.56             | 22.3              | **Unsafe**      |
| 2026-05-13T17:00   | 2.58             | 21.8              | **Unsafe**      |
| 2026-05-13T18:00   | 2.60             | 20.7              | **Unsafe**      |
| 2026-05-13T19:00   | 2.58             | 18.4              | **Unsafe**      |
| 2026-05-13T20:00   | 2.58             | 16.5              | Suitable        |
| 2026-05-13T21:00   | 2.56             | 14.8              | Suitable        |
| 2026-05-13T22:00   | 2.52             | 14.3              | Suitable        |
| 2026-05-13T23:00   | 2.46             | 14.7              | Suitable        |
| 2026-05-14T00:00   | 2.42             | 13.9              | Suitable        |
| 2026-05-14T01:00   | 2.36             | 11.7              | Suitable        |
| 2026-05-14T02:00   | 2.32             | 12.4              | Suitable        |
| 2026-05-14T03:00   | 2.26             | 13.0              | Suitable        |
| 2026-05-14T04:00   | 2.20             | 13.2              | Suitable        |
| 2026-05-14T05:00   | 2.12             | 15.0              | Suitable        |
| 2026-05-14T06:00   | 2.06             | 16.4              | Suitable        |
| 2026-05-14T07:00   | 2.02             | 15.7              | Suitable        |
| 2026-05-14T08:00   | 1.98             | 15.8              | Ideal           |
| 2026-05-14T09:00   | 1.94             | 15.0              | Ideal           |
| 2026-05-14T10:00   | 1.92             | 13.5              | Ideal           |
| 2026-05-14T11:00   | 1.90             | 11.5              | Ideal           |
| 2026-05-14T12:00   | 1.88             | 9.7               | Ideal           |
| 2026-05-14T13:00   | 1.86             | 9.3               | Ideal           |
| 2026-05-14T14:00   | 1.84             | 8.4               | Ideal           |
| 2026-05-14T15:00   | 1.82             | 7.3               | Ideal           |
| 2026-05-14T16:00   | 1.80             | 9.7               | Ideal           |
| 2026-05-14T17:00   | 1.80             | 9.7               | Ideal           |
| 2026-05-14T18:00   | 1.78             | 8.5               | Ideal           |
| 2026-05-14T19:00   | 1.76             | 9.1               | Ideal           |
| 2026-05-14T20:00   | 1.76             | 11.1              | Ideal           |
| 2026-05-14T21:00   | 1.74             | 11.4              | Ideal           |
| 2026-05-14T22:00   | 1.74             | 11.8              | Ideal           |
| 2026-05-14T23:00   | 1.72             | 12.4              | Ideal           |
| 2026-05-15T00:00   | 1.72             | 13.2              | Ideal           |
| 2026-05-15T01:00   | 1.76             | 13.5              | Ideal           |
| 2026-05-15T02:00   | 1.78             | 13.9              | Ideal           |
| 2026-05-15T03:00   | 1.82             | 14.0              | Ideal           |
| 2026-05-15T04:00   | 1.86             | 12.4              | Ideal           |
| 2026-05-15T05:00   | 1.92             | 12.9              | Ideal           |
| 2026-05-15T06:00   | 1.96             | 14.0              | Ideal           |
| 2026-05-15T07:00   | 2.00             | 13.9              | Suitable        |
| 2026-05-15T08:00   | 2.04             | 14.0              | Suitable        |
| 2026-05-15T09:00   | 2.08             | 16.6              | Suitable        |
| 2026-05-15T10:00   | 2.10             | 16.7              | Suitable        |
| 2026-05-15T11:00   | 2.10             | 17.1              | Suitable        |
| 2026-05-15T12:00   | 2.12             | 17.0              | Suitable        |
| 2026-05-15T13:00   | 2.10             | 15.8              | Suitable        |
| 2026-05-15T14:00   | 2.10             | 14.5              | Suitable        |
| 2026-05-15T15:00   | 2.08             | 10.5              | Suitable        |
| 2026-05-15T16:00   | 2.06             | 6.8               | Suitable        |
| 2026-05-15T17:00   | 2.06             | 4.9               | Ideal           |
| 2026-05-15T18:00   | 2.04             | 5.8               | Ideal           |
| 2026-05-15T19:00   | 2.02             | 6.5               | Ideal           |
| 2026-05-15T20:00   | 1.98             | 6.9               | Ideal           |
| 2026-05-15T21:00   | 1.96             | 7.8               | Ideal           |
| 2026-05-15T22:00   | 1.92             | 9.6               | Ideal           |
| 2026-05-15T23:00   | 1.88             | 11.8              | Ideal           |
| 2026-05-16T00:00   | 1.84             | 13.3              | Ideal           |
| 2026-05-16T01:00   | 1.82             | 13.7              | Ideal           |
| 2026-05-16T02:00   | 1.80             | 13.6              | Ideal           |
| 2026-05-16T03:00   | 1.78             | 13.5              | Ideal           |
| 2026-05-16T04:00   | 1.74             | 13.8              | Ideal           |
| 2026-05-16T05:00   | 1.72             | 14.2              | Ideal           |
| 2026-05-16T06:00   | 1.68             | 13.5              | Ideal           |
| 2026-05-16T07:00   | 1.64             | 11.6              | Ideal           |
| 2026-05-16T08:00   | 1.62             | 10.7              | Ideal           |
| 2026-05-16T09:00   | 1.58             | 10.7              | Ideal           |
| 2026-05-16T10:00   | 1.56             | 10.2              | Ideal           |
| 2026-05-16T11:00   | 1.52             | 11.0              | Ideal           |
| 2026-05-16T12:00   | 1.50             | 13.2              | Suitable        |
| 2026-05-16T13:00   | 1.48             | 15.2              | Suitable        |
| 2026-05-16T14:00   | 1.48             | 16.6              | Suitable        |
| 2026-05-16T15:00   | 1.46             | 17.0              | Suitable        |
| 2026-05-16T16:00   | 1.44             | 15.7              | Suitable        |
| 2026-05-16T17:00   | 1.42             | 13.1              | Suitable        |
| 2026-05-16T18:00   | 1.40             | 10.2              | Suitable        |
| 2026-05-16T19:00   | 1.38             | 7.6               | Ideal           |
| 2026-05-16T20:00   | 1.34             | 7.8               | Ideal           |
| 2026-05-16T21:00   | 1.32             | 10.5              | Ideal           |
| 2026-05-16T22:00   | 1.32             | 12.6              | Ideal           |
| 2026-05-16T23:00   | 1.30             | 13.8              | Ideal           |

#### Best Continuous Surfing Windows
1. **Window 1**: 
   - **Start**: 2026-05-14T08:00
   - **End**: 2026-05-15T22:00
   - **Conditions**: Mostly ideal to suitable conditions.

2. **Window 2**: 
   - **Start**: 2026-05-16T07:00
   - **End**: 2026-05-16T23:00
   - **Conditions**: Ideal conditions throughout.

#### Summary of Unsafe Conditions
- **Unsafe Hours** (Wave Height > 2.2 m or Wind Speed > 22 kph): 
  - Multiple hours from 2026-05-12T05:00 to 2026-05-13T00:00 
  - Various hours from 2026-05-13T01:00 to 2026-05-13T18:00 
  - Several hours from 2026-05-14T05:00 to 2026-05-13T18:00
  - All hours with wave heights exceeding 2.2 m or wind speeds exceeding 22 kph.
