### Surf Session Ratings at Jeffreys Bay

| Time (UTC)         | Wave Height (m) | Wind Speed (kph) | Rating       |
|---------------------|------------------|-------------------|--------------|
| 2026-05-12T00:00    | 2.14             | 9.4               | Ideal        |
| 2026-05-12T01:00    | 2.1              | 9.7               | Ideal        |
| 2026-05-12T02:00    | 2.06             | 8.9               | Ideal        |
| 2026-05-12T03:00    | 2.02             | 12.3              | Ideal        |
| 2026-05-12T04:00    | 2.04             | 14.8              | Ideal        |
| 2026-05-12T05:00    | 2.04             | 23.3              | Suitable     |
| 2026-05-12T06:00    | 2.06             | 26.3              | Suitable     |
| 2026-05-12T07:00    | 2.08             | 26.5              | Suitable     |
| 2026-05-12T08:00    | 2.1              | 23.0              | Suitable     |
| 2026-05-12T09:00    | 2.12             | 19.4              | Suitable     |
| 2026-05-12T10:00    | 2.14             | 15.9              | Suitable     |
| 2026-05-12T11:00    | 2.16             | 12.3              | Suitable     |
| 2026-05-12T12:00    | 2.18             | 18.6              | Suitable     |
| 2026-05-12T13:00    | 2.2              | 23.2              | Suitable     |
| 2026-05-12T14:00    | 2.22             | 21.1              | Suitable     |
| 2026-05-12T15:00    | 2.24             | 28.4              | Suitable     |
| 2026-05-12T16:00    | 2.28             | 30.8              | Challenging  |
| 2026-05-12T17:00    | 2.3              | 32.5              | Challenging  |
| 2026-05-12T18:00    | 2.34             | 28.5              | Suitable     |
| 2026-05-12T19:00    | 2.36             | 27.4              | Suitable     |
| 2026-05-12T20:00    | 2.38             | 26.3              | Suitable     |
| 2026-05-12T21:00    | 2.4              | 28.1              | Suitable     |
| 2026-05-12T22:00    | 2.42             | 28.6              | Suitable     |
| 2026-05-12T23:00    | 2.44             | 29.6              | Suitable     |
| 2026-05-13T00:00    | 2.46             | 31.9              | Challenging  |
| 2026-05-13T01:00    | 2.46             | 34.5              | Challenging  |
| 2026-05-13T02:00    | 2.46             | 35.4              | Unsafe       |
| 2026-05-13T03:00    | 2.46             | 32.5              | Challenging  |
| 2026-05-13T04:00    | 2.48             | 31.0              | Challenging  |
| 2026-05-13T05:00    | 2.48             | 30.5              | Challenging  |
| 2026-05-13T06:00    | 2.5              | 28.8              | Suitable     |
| 2026-05-13T07:00    | 2.54             | 31.0              | Challenging  |
| 2026-05-13T08:00    | 2.56             | 33.5              | Challenging  |
| 2026-05-13T09:00    | 2.6              | 38.3              | Unsafe       |
| 2026-05-13T10:00    | 2.62             | 34.6              | Unsafe       |
| 2026-05-13T11:00    | 2.64             | 30.4              | Challenging  |
| 2026-05-13T12:00    | 2.66             | 32.0              | Challenging  |
| 2026-05-13T13:00    | 2.62             | 25.2              | Suitable     |
| 2026-05-13T14:00    | 2.58             | 23.8              | Suitable     |
| 2026-05-13T15:00    | 2.54             | 25.2              | Suitable     |
| 2026-05-13T16:00    | 2.56             | 22.3              | Suitable     |
| 2026-05-13T17:00    | 2.58             | 21.8              | Suitable     |
| 2026-05-13T18:00    | 2.6              | 20.7              | Suitable     |
| 2026-05-13T19:00    | 2.58             | 18.4              | Suitable     |
| 2026-05-13T20:00    | 2.58             | 16.5              | Suitable     |
| 2026-05-13T21:00    | 2.56             | 14.8              | Suitable     |
| 2026-05-13T22:00    | 2.52             | 14.3              | Suitable     |
| 2026-05-13T23:00    | 2.46             | 14.7              | Suitable     |
| 2026-05-14T00:00    | 2.42             | 13.9              | Suitable     |
| 2026-05-14T01:00    | 2.36             | 11.7              | Suitable     |
