### Surf Session Ratings

| Timestamp (UTC)       | Wave Height (m) | Wind Speed (kph) | Rating      | Notes                                |
|-----------------------|------------------|-------------------|-------------|--------------------------------------|
| 2026-05-12T00:00      | 2.14             | 9.4               | Ideal       | Ideal wave height, light wind.      |
| 2026-05-12T01:00      | 2.10             | 9.7               | Ideal       | Ideal wave height, light wind.      |
| 2026-05-12T02:00      | 2.06             | 8.9               | Ideal       | Ideal wave height, light wind.      |
| 2026-05-12T03:00      | 2.02             | 12.3              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T04:00      | 2.04             | 14.8              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T05:00      | 2.04             | 23.3              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T06:00      | 2.06             | 26.3              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T07:00      | 2.08             | 26.5              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T08:00      | 2.10             | 23.0              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T09:00      | 2.12             | 19.4              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-12T10:00      | 2.14             | 15.9              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-12T11:00      | 2.16             | 12.3              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-12T12:00      | 2.18             | 18.6              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T13:00      | 2.20             | 23.2              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T14:00      | 2.22             | 21.1              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T15:00      | 2.24             | 28.4              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T16:00      | 2.28             | 30.8              | **Unsafe**  | High wind speed (30.8 kph).         |
| 2026-05-12T17:00      | 2.30             | 32.5              | **Unsafe**  | High wind speed (32.5 kph).         |
| 2026-05-12T18:00      | 2.34             | 28.5              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T19:00      | 2.36             | 27.4              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T20:00      | 2.38             | 26.3              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T21:00      | 2.40             | 28.1              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T22:00      | 2.42             | 28.6              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-12T23:00      | 2.44             | 29.6              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-13T00:00      | 2.46             | 31.9              | **Unsafe**  | High wind speed (31.9 kph).         |
| 2026-05-13T01:00      | 2.46             | 34.5              | **Unsafe**  | High wind speed (34.5 kph).         |
| 2026-05-13T02:00      | 2.46             | 35.4              | **Unsafe**  | High wind speed (35.4 kph).         |
| 2026-05-13T03:00      | 2.46             | 32.5              | **Unsafe**  | High wind speed (32.5 kph).         |
| 2026-05-13T04:00      | 2.48             | 31.0              | **Unsafe**  | High wind speed (31.0 kph).         |
| 2026-05-13T05:00      | 2.48             | 30.5              | **Unsafe**  | High wind speed (30.5 kph).         |
| 2026-05-13T06:00      | 2.50             | 28.8              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-13T07:00      | 2.54             | 31.0              | **Unsafe**  | High wind speed (31.0 kph).         |
| 2026-05-13T08:00      | 2.56             | 33.5              | **Unsafe**  | High wind speed (33.5 kph).         |
| 2026-05-13T09:00      | 2.60             | 38.3              | **Unsafe**  | High wind speed (38.3 kph).         |
| 2026-05-13T10:00      | 2.62             | 34.6              | **Unsafe**  | High wind speed (34.6 kph).         |
| 2026-05-13T11:00      | 2.64             | 30.4              | **Unsafe**  | High wind speed (30.4 kph).         |
| 2026-05-13T12:00      | 2.66             | 32.0              | **Unsafe**  | High wind speed (32.0 kph).         |
| 2026-05-13T13:00      | 2.62             | 25.2              | Suitable    | Suitable wave height, moderate wind.|
| 2026-05-13T14:00      | 2.58             | 23.8              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-13T15:00      | 2.54             | 25.2              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-13T16:00      | 2.56             | 22.3              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-13T17:00      | 2.58             | 21.8              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-13T18:00      | 2.60             | 20.7              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-13T19:00      | 2.58             | 18.4              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-13T20:00      | 2.58             | 16.5              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-13T21:00      | 2.56             | 14.8              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-13T22:00      | 2.52             | 14.3              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-13T23:00      | 2.46             | 14.7              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T00:00      | 2.42             | 13.9              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T01:00      | 2.36             | 11.7              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T02:00      | 2.32             | 12.4              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T03:00      | 2.26             | 13.0              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T04:00      | 2.20             | 13.2              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T05:00      | 2.12             | 15.0              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T06:00      | 2.06             | 16.4              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T07:00      | 2.02             | 15.7              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T08:00      | 1.98             | 15.8              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T09:00      | 1.94             | 15.0              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T10:00      | 1.92             | 13.5              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T11:00      | 1.90             | 11.5              | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T12:00      | 1.88             | 9.7               | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T13:00      | 1.86             | 9.3               | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T14:00      | 1.84             | 8.4               | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T15:00      | 1.82             | 7.3               | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T16:00      | 1.80             | 9.7               | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T17:00      | 1.80             | 9.7               | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T18:00      | 1.78             | 8.5               | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T19:00      | 1.76             | 9.1               | Suitable    | Suitable wave height, light wind.   |
| 2026-05-14T20:00      | 1.76             | 11.1              | Suitable    | Suitable wave height, light wind.   |
