### Jeffreys Bay, South Africa Surf Conditions (2026-05-12 to 2026-05-16)

**Overview:**
Jeffreys Bay is known for its stunning right-hand point break, especially during this time of year. Here’s your detailed surf forecast and hourly assessment for the specified dates.

#### Surf Ratings by Hour:

| Date       | Time (UTC) | Wave Height (m) | Wind Speed (kph) | Rating     | Remarks                          |
|------------|-------------|------------------|-------------------|------------|----------------------------------|
| 2026-05-12 | 00:00       | 2.14             | 9.4               | Suitable   |                                  |
| 2026-05-12 | 01:00       | 2.10             | 9.7               | Suitable   |                                  |
| 2026-05-12 | 02:00       | 2.06             | 8.9               | Suitable   |                                  |
| 2026-05-12 | 03:00       | 2.02             | 12.3              | Suitable   |                                  |
| 2026-05-12 | 04:00       | 2.04             | 14.8              | Suitable   |                                  |
| 2026-05-12 | 05:00       | 2.04             | 23.3              | Suitable   |                                  |
| 2026-05-12 | 06:00       | 2.06             | 26.3              | Challenging | Strong wind                     |
| 2026-05-12 | 07:00       | 2.08             | 26.5              | Challenging | Strong wind                     |
| 2026-05-12 | 08:00       | 2.10             | 23.0              | Suitable   |                                  |
| 2026-05-12 | 09:00       | 2.12             | 19.4              | Suitable   |                                  |
| 2026-05-12 | 10:00       | 2.14             | 15.9              | Suitable   |                                  |
| 2026-05-12 | 11:00       | 2.16             | 12.3              | Suitable   |                                  |
| 2026-05-12 | 12:00       | 2.18             | 18.6              | Suitable   |                                  |
| 2026-05-12 | 13:00       | 2.20             | 23.2              | Suitable   |                                  |
| 2026-05-12 | 14:00       | 2.22             | 21.1              | Suitable   |                                  |
| 2026-05-12 | 15:00       | 2.24             | 28.4              | Challenging | Strong wind                     |
| 2026-05-12 | 16:00       | 2.28             | 30.8              | Unsafe     | Strong wind                     |
| 2026-05-12 | 17:00       | 2.30             | 32.5              | Unsafe     | Strong wind                     |
| 2026-05-12 | 18:00       | 2.34             | 28.5              | Challenging | Strong wind                     |
| 2026-05-12 | 19:00       | 2.36             | 27.4              | Challenging | Strong wind                     |
| 2026-05-12 | 20:00       | 2.38             | 26.3              | Suitable   |                                  |
| 2026-05-12 | 21:00       | 2.40             | 28.1              | Challenging | Strong wind                     |
| 2026-05-12 | 22:00       | 2.42             | 28.6              | Challenging | Strong wind                     |
| 2026-05-12 | 23:00       | 2.44             | 29.6              | Challenging | Strong wind                     |
| 2026-05-13 | 00:00       | 2.46             | 31.9              | Unsafe     | Strong wind                     |
| 2026-05-13 | 01:00       | 2.46             | 34.5              | Unsafe     | Strong wind                     |
| 2026-05-13 | 02:00       | 2.46             | 35.4              | Unsafe     | Strong wind                     |
| 2026-05-13 | 03:00       | 2.46             | 32.5              | Unsafe     | Strong wind                     |
| 2026-05-13 | 04:00       | 2.48             | 31.0              | Unsafe     | Strong wind                     |
| 2026-05-13 | 05:00       | 2.48             | 30.5              | Unsafe     | Strong wind                     |
| 2026-05-13 | 06:00       | 2.50             | 28.8              | Challenging | Strong wind                     |
| 2026-05-13 | 07:00       | 2.54             | 31.0              | Unsafe     | Strong wind                     |
| 2026-05-13 | 08:00       | 2.56             | 34.5              | Unsafe     | Strong wind                     |
| 2026-05-13 | 09:00       | 2.60             | 38.3              | Unsafe     | Strong wind                     |
| 2026-05-13 | 10:00       | 2.62             | 34.6              | Unsafe     | Strong wind                     |
| 2026-05-13 | 11:00       | 2.64             | 30.4              | Unsafe     | Strong wind                     |
| 2026-05-13 | 12:00       | 2.66             | 32.0              | Unsafe     | Strong wind                     |
| 2026-05-13 | 13:00       | 2.62             | 25.2              | Suitable   |                                  |
| 2026-05-13 | 14:00       | 2.58             | 23.8              | Suitable   |                                  |
| 2026-05-13 | 15:00       | 2.54             | 25.2              | Suitable   |                                  |
| 2026-05-13 | 16:00       | 2.56             | 22.3              | Suitable   |                                  |
| 2026-05-13 | 17:00       | 2.58             | 21.8              | Suitable   |                                  |
| 2026-05-13 | 18:00       | 2.60             | 20.7              | Suitable   |                                  |
| 2026-05-13 | 19:00       | 2.58             | 18.4              | Suitable   |                                  |
| 2026-05-13 | 20:00       | 2.58             | 16.5              | Ideal      | Great conditions!               |
| 2026-05-13 | 21:00       | 2.56             | 14.8              | Ideal      | Great conditions!               |
| 2026-05-13 | 22:00       | 2.52             | 14.3              | Suitable   |                                  |
| 2026-05-13 | 23:00       | 2.46             | 14.7              | Suitable   |                                  |
| 2026-05-14 | 00:00       | 2.42             | 13.9              | Suitable   |                                  |
| 2026-05-14 | 01:00       | 2.36             | 11.7              | Suitable   |                                  |
| 2026-05-14 | 02:00       | 2.32             | 12.4              | Suitable   |                                  |
| 2026-05-14 | 03:00       | 2.26             | 13.0              | Suitable   |                                  |
| 2026-05-14 | 04:00       | 2.20             | 13.2              | Suitable   |                                  |
| 2026-05-14 | 05:00       | 2.12             | 15.0              | Suitable   |                                  |
| 2026-05-14 | 06:00       | 2.06             | 16.4              | Suitable   |                                  |
| 2026-05-14 | 07:00       | 2.02             | 15.7              | Suitable   |                                  |
| 2026-05-14 | 08:00       | 1.98             | 15.8              | Suitable   |                                  |
| 2026-05-14
