### Surf Session Ratings and Recommendations for Peniche Supertubos

#### Hourly Ratings
| Timestamp             | Wave Height (m) | Wind Speed (kph) | Rating       | Notes                                   |
|----------------------|------------------|-------------------|--------------|-----------------------------------------|
| 2026-04-26T00:00     | 1.28             | 17.1              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T01:00     | 1.28             | 18.1              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T02:00     | 1.28             | 17.7              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T03:00     | 1.26             | 17.5              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T04:00     | 1.26             | 17.8              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T05:00     | 1.24             | 16.3              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T06:00     | 1.24             | 15.7              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T07:00     | 1.22             | 15.1              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T08:00     | 1.20             | 17.0              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T09:00     | 1.20             | 16.2              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T10:00     | 1.18             | 15.2              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T11:00     | 1.18             | 15.3              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T12:00     | 1.16             | 16.9              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T13:00     | 1.16             | 19.5              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T14:00     | 1.16             | 21.0              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T15:00     | 1.18             | 22.3              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T16:00     | 1.18             | 23.1              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T17:00     | 1.18             | 22.3              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T18:00     | 1.18             | 23.1              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T19:00     | 1.18             | 22.4              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T20:00     | 1.20             | 22.6              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T21:00     | 1.24             | 21.1              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T22:00     | 1.26             | 20.8              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-26T23:00     | 1.26             | 20.8              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T00:00     | 1.28             | 20.8              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T01:00     | 1.28             | 17.7              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T02:00     | 1.28             | 16.2              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T03:00     | 1.28             | 16.6              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T04:00     | 1.28             | 16.0              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T05:00     | 1.30             | 15.5              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T06:00     | 1.30             | 15.2              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T07:00     | 1.32             | 13.7              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T08:00     | 1.32             | 13.2              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T09:00     | 1.34             | 13.5              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T10:00     | 1.34             | 13.1              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T11:00     | 1.34             | 12.0              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T12:00     | 1.34             | 11.6              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T13:00     | 1.34             | 12.1              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T14:00     | 1.34             | 13.2              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T15:00     | 1.36             | 14.8              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T16:00     | 1.36             | 15.9              | Suitable     | Moderate wind, manageable waves.       |
| 2026-04-27T17:00     | 1.36             | 16.9              | Suitable     | Moderate wind, manageable waves.       |
