### Surf Session Forecast Ratings

| Timestamp            | Wave Height (m) | Wind Speed (kph) | Rating     | Comments                                         |
|---------------------|------------------|-------------------|------------|--------------------------------------------------|
| 2026-04-26T00:00    | 1.28             | 17.1              | Suitable   | Moderate wave height with manageable wind.       |
| 2026-04-26T01:00    | 1.28             | 18.1              | Suitable   | Similar conditions as the previous hour.         |
| 2026-04-26T02:00    | 1.28             | 17.7              | Suitable   | Consistent conditions.                            |
| 2026-04-26T03:00    | 1.26             | 17.5              | Suitable   | Good for intermediate surfers.                    |
| 2026-04-26T04:00    | 1.26             | 17.8              | Suitable   | Stable conditions continue.                       |
| 2026-04-26T05:00    | 1.24             | 16.3              | Suitable   | Slightly lower wind, good for surfing.           |
| 2026-04-26T06:00    | 1.24             | 15.7              | Suitable   | Ideal for an early session.                       |
| 2026-04-26T07:00    | 1.22             | 15.1              | Suitable   | Good conditions for intermediate surfers.         |
| 2026-04-26T08:00    | 1.20             | 17.0              | Suitable   | Conditions remain favorable.                      |
| 2026-04-26T09:00    | 1.20             | 16.2              | Suitable   | Consistent surf conditions.                       |
| 2026-04-26T10:00    | 1.18             | 15.2              | Suitable   | Good for intermediate surfers.                    |
| 2026-04-26T11:00    | 1.18             | 15.3              | Suitable   | Ideal conditions for surfing.                     |
| 2026-04-26T12:00    | 1.16             | 16.9              | Suitable   | Slight increase in wind, still manageable.       |
| 2026-04-26T13:00    | 1.16             | 19.5              | Suitable   | Wind increases but remains surfable.             |
| 2026-04-26T14:00    | 1.16             | 21.0              | Suitable   | Still within manageable limits.                   |
| 2026-04-26T15:00    | 1.18             | 22.3              | Challenging | Higher wind may affect performance.               |
| 2026-04-26T16:00    | 1.18             | 23.1              | Challenging | Wind continues to rise.                          |
| 2026-04-26T17:00    | 1.18             | 22.3              | Challenging | Similar to previous hour; take caution.          |
| 2026-04-26T18:00    | 1.18             | 23.1              | Challenging | Challenging conditions for intermediate surfers.  |
| 2026-04-26T19:00    | 1.18             | 22.4              | Challenging | Wind remains high; consider safety.               |
| 2026-04-26T20:00    | 1.20             | 22.6              | Challenging | Conditions still challenging.                     |
| 2026-04-26T21:00    | 1.24             | 21.1              | Challenging | Wind may impact surf quality.                     |
| 2026-04-26T22:00    | 1.26             | 20.8              | Challenging | Similar conditions; caution advised.              |
| 2026-04-26T23:00    | 1.26             | 20.8              | Challenging | End of the day with challenging conditions.       |
| 2026-04-27T00:00    | 1.28             | 20.8              | Challenging | Overnight conditions remain difficult.            |
| 2026-04-27T01:00    | 1.28             | 17.7              | Suitable   | Wind drops slightly, making it more manageable.  |
| 2026-04-27T02:00    | 1.28             | 16.2              | Suitable   | Good conditions returning.                        |
| 2026-04-27T03:00    | 1.28             | 16.6              | Suitable   | Continues to improve.                            |
| 2026-04-27T04:00    | 1.28             | 16.0              | Suitable   | Consistently manageable.                          |
| 2026-04-27T05:00    | 1.30             | 15.5              | Suitable   | Great conditions for intermediate surfers.       |
| 2026-04-27T06:00    | 1.30             | 15.2              | Suitable   | Ideal for a morning session.                      |
| 2026-04-27T07:00    | 1.32             | 13.7              | Suitable   | Excellent early surf conditions.                  |
| 2026-04-27T08:00    | 1.32             | 13.2              | Suitable   | Still very good.                                 |
| 2026-04-27T09:00    | 1.34             | 13.5              | Suitable   | Consistent and favorable.                         |
| 2026-04-27T10:00    | 1.34             | 13.1              | Suitable   | Great conditions continue.                        |
| 2026-04-27T11:00    | 1.34             | 12.0              | Ideal      | Excellent conditions for all levels.             |
| 2026-04-27T12:00    | 1.34             | 11.6              | Ideal      | Perfect conditions for intermediate surfers.      |
| 2026-04-27T13:00    | 1.34             | 12.1              | Ideal      | Wave height and wind speed optimal.              |
| 2026-04-27T14:00    | 1.34             | 13.2              | Ideal      | Ideal conditions for a surf session.             |
| 2026-04-27T15:00    | 1.36             | 14.8              | Ideal      | Continues to be an excellent choice.             |
| 2026-04-27T16:00    | 1.36             | 15.9              | Ideal      | Perfect for intermediate surfers.                 |
| 2026-04-27T17:00    | 1.36             | 16.9              | Ideal      | Consistent and ideal conditions.                  |
| 2026-04-27T18:00    | 1.36             | 14.8              | Ideal      | Good conditions in the late evening.             |
| 2026-04-27T19:00    | 1.36             | 13.3              | Ideal      | Great for a sunset session.                       |
| 2026-04-27T20:00    | 1.36             | 10.5              | Ideal      | Excellent evening conditions.                     |
| 2026-04-27T21:00    | 1.34             | 9.4               | Ideal      | Good for night surfing.                           |
| 2026-04-27T22:00    | 1.34             | 8.4               | Ideal      | Perfect conditions as day ends.                   |
| 2026-04-27T23:00    | 1.34             | 9.4               | Ideal      | Consistent conditions.                            |
| ...                 | ...              | ...               | ...        | ...                                              |

### Best Continuous Surfing Window
**Start Time:** 2026-04-27T11:00  
**End Time:** 2026-04-27T20:00  
**Conditions:** Ideal wave heights (1.34 m) and manageable wind speeds (12.0 kph to 14.8 kph).

### Unsafe Hours
- No hours in the forecast exceed a wave height of 3.8 m or wind speed of 30 kph, so no hours are flagged as **unsafe**. 

### Summary
The forecast shows a variety of conditions, with the best window for surfing being from **April 27th, 11:00 to 20:00** when the conditions are rated as **Ideal**. Other hours may be suitable or challenging but are manageable for intermediate surfers.
