Here's the surf forecast for Peniche, Portugal from April 26 to April 30, 2026, tailored to your intermediate skill level. The conditions are rated as **ideal**, **suitable**, **challenging**, or **unsafe**:

### April 26, 2026
| Time (UTC) | Wave Height (m) | Wind Speed (kph) | Rating      |
|------------|------------------|------------------|-------------|
| 00:00      | 1.3              | 17.1             | Challenging |
| 01:00      | 1.3              | 18.1             | Challenging |
| 02:00      | 1.3              | 17.7             | Challenging |
| 03:00      | 1.3              | 17.5             | Challenging |
| 04:00      | 1.3              | 17.8             | Challenging |
| 05:00      | 1.2              | 16.3             | Challenging |
| 06:00      | 1.2              | 15.7             | Challenging |
| 07:00      | 1.2              | 15.1             | Challenging |
| 08:00      | 1.2              | 17.0             | Challenging |
| 09:00      | 1.2              | 16.2             | Challenging |
| 10:00      | 1.2              | 15.2             | Challenging |
| 11:00      | 1.2              | 15.3             | Challenging |
| 12:00      | 1.2              | 16.9             | Challenging |
| 13:00      | 1.2              | 19.5             | Challenging |
| 14:00      | 1.2              | 21.0             | Challenging |
| 15:00      | 1.2              | 22.3             | Challenging |
| 16:00      | 1.2              | 23.1             | Challenging |
| 17:00      | 1.2              | 22.3             | Challenging |
| 18:00      | 1.2              | 23.1             | Challenging |
| 19:00      | 1.2              | 22.4             | Challenging |
| 20:00      | 1.2              | 22.6             | Challenging |
| 21:00      | 1.2              | 21.1             | Challenging |
| 22:00      | 1.3              | 20.8             | Challenging |
| 23:00      | 1.3              | 20.8             | Challenging |

### April 27, 2026
| Time (UTC) | Wave Height (m) | Wind Speed (kph) | Rating      |
|------------|------------------|------------------|-------------|
| 00:00      | 1.3              | 20.8             | Challenging |
| 01:00      | 1.3              | 17.7             | Challenging |
| 02:00      | 1.3              | 16.2             | Challenging |
| 03:00      | 1.3              | 16.6             | Challenging |
| 04:00      | 1.3              | 16.0             | Challenging |
| 05:00      | 1.3              | 15.5             | Challenging |
| 06:00      | 1.3              | 15.2             | Challenging |
| 07:00      | 1.3              | 13.7             | Challenging |
| 08:00      | 1.3              | 13.2             | Challenging |
| 09:00      | 1.3              | 13.5             | Challenging |
| 10:00      | 1.3              | 13.1             | Challenging |
| 11:00      | 1.3              | 12.0             | Challenging |
| 12:00      | 1.3              | 11.6             | Challenging |
| 13:00      | 1.3              | 12.1             | Challenging |
| 14:00      | 1.3              | 13.2             | Challenging |
| 15:00      | 1.4              | 14.8             | Challenging |
| 16:00      | 1.4              | 15.9             | Challenging |
| 17:00      | 1.4              | 16.9             | Challenging |
| 18:00      | 1.4              | 14.8             | Challenging |
| 19:00      | 1.4              | 13.3             | Challenging |
| 20:00      | 1.4              | 10.5             | Challenging |
| 21:00      | 1.3              | 9.4              | Challenging |
| 22:00      | 1.3              | 8.4              | Challenging |
| 23:00      | 1.3              | 9.4              | Challenging |

### April 28, 2026
| Time (UTC) | Wave Height (m) | Wind Speed (kph) | Rating      |
|------------|------------------|------------------|-------------|
| 00:00      | 1.3              | 9.6              | Challenging |
| 01:00      | 1.3              | 7.2              | Challenging |
| 02:00      | 1.3              | 6.3              | Challenging |
| 03:00      | 1.3              | 6.6              | Challenging |
| 04:00      | 1.4              | 6.6              | Challenging |
| 05:00      | 1.4              | 7.7              | Challenging |
| 06:00      | 1.4              | 6.7              | Challenging |
| 07:00      | 1.4              | 5.6              | Challenging |
| 08:00      | 1.5              | 5.9              | Challenging |
| 09:00      | 1.5              | 7.1              | Challenging |
| 10:00      | 1.5              | 7.5              | Challenging |
| 11:00      | 1.5              | 6.5              | Challenging |
| 12:00      | 1.5              | 8.9              | Challenging |
| 13:00      | 1.5              | 9.2              | Challenging |
| 14:00      | 1.5              | 11.6             | Challenging |
| 15:00      | 1.5              | 13.4             | Challenging |
| 16:00      | 1.5              | 13.8             | Challenging |
| 17:00      | 1.5              | 11.1             | Challenging |
| 18:00      | 1.5              | 11.1             | Suitable    |
| 19:00      | 1.5              | 10.1             | Suitable    |
| 20:00      | 1.4              | 9.9              | Suitable    |
| 21:00      | 1.4              | 8.5              | Suitable    |
| 22:00      | 1.4              | 7.2              | Suitable    |
| 23:00      | 1.4              | 8.4              | Suitable    |

### April 29, 2026
| Time (UTC) | Wave Height (m) | Wind Speed (kph) | Rating      |
|------------|------------------|------------------|-------------|
| 00:00      | 1.4              | 3.1              | Suitable    |
| 01:00      | 1.3              | 10.0             | Suitable    |
| 02:00      | 1.3              | 10.0             | Suitable    |
| 03:00      | 1.3              | 9.2              | Suitable    |
| 04:00      | 1.3              | 9.3              | Suitable    |
| 05:00      | 1.3              | 10.7             | Suitable    |
| 06:00      | 1.3              | 8.7              | Suitable    |
| 07:00      | 1.3              | 6.1              | Suitable    |
| 08:00      | 1.3              | 9.3              | Suitable   
