Here are the surf conditions for Peniche, Portugal from April 26 to April 30, 2026, for an intermediate surfer:

### April 29, 2026
| Time (UTC)  | Wave Height (m) | Wind Speed (kph) | Rating     | Notes                                      |
|-------------|------------------|------------------|------------|--------------------------------------------|
| 00:00       | 1.22             | 5.2              | Suitable   | Good swell period (12s)                   |
| 01:00       | 1.20             | 6.1              | Suitable   | Good swell period (12s)                   |
| 02:00       | 1.20             | 0.7              | Suitable   | Good swell period (12s)                   |
| 03:00       | 1.20             | 10.6             | Suitable   | Good swell period (12s)                   |
| 04:00       | 1.20             | 11.8             | Suitable   | Good swell period (12s)                   |
| 05:00       | 1.22             | 14.0             | Suitable   | Good swell period (12s)                   |
| 06:00       | 1.24             | 16.3             | Suitable   | Good swell period (12s)                   |
| 07:00       | 1.26             | 14.4             | Suitable   | Good swell period (12s)                   |
| 08:00       | 1.28             | 10.1             | Suitable   | Good swell period (12s)                   |
| 09:00       | 1.28             | 9.0              | Suitable   | Good swell period (12s)                   |
| 10:00       | 1.30             | 11.3             | Suitable   | Good swell period (12s)                   |
| 11:00       | 1.32             | 12.1             | Suitable   | Good swell period (12s)                   |
| 12:00       | 1.32             | 15.6             | Suitable   | Good swell period (12s)                   |
| 13:00       | 1.34             | 17.8             | Suitable   | Good swell period (12s)                   |
| 14:00       | 1.38             | 21.7             | Challenging| Wind too strong (22kph)                   |
| 15:00       | 1.42             | 23.7             | Challenging| Wind too strong (24kph)                   |
| 16:00       | 1.46             | 21.8             | Suitable   | Wind too strong (22kph)                   |
| 17:00       | 1.48             | 21.1             | Suitable   | Wind too strong (21kph)                   |
| 18:00       | 1.48             | 18.9             | Suitable   | Good swell period (12s)                   |
| 19:00       | 1.50             | 16.6             | Suitable   | Good swell period (12s)                   |
| 20:00       | 1.48             | 14.1             | Suitable   | Decent swell period (11s)                  |
| 21:00       | 1.48             | 10.7             | Suitable   | Decent swell period (11s)                  |
| 22:00       | 1.46             | 9.6              | Suitable   | Decent swell period (11s)                  |
| 23:00       | 1.46             | 8.2              | Suitable   | Decent swell period (11s)                  |

### April 30, 2026
| Time (UTC)  | Wave Height (m) | Wind Speed (kph) | Rating     | Notes                                      |
|-------------|------------------|------------------|------------|--------------------------------------------|
| 00:00       | 1.44             | 9.2              | Suitable   | Decent swell period (11s)                  |
| 01:00       | 1.44             | 10.1             | Suitable   | Decent swell period (11s)                  |
| 02:00       | 1.44             | 10.1             | Suitable   | Decent swell period (11s)                  |
| 03:00       | 1.44             | 9.7              | Suitable   | Decent swell period (11s)                  |
| 04:00       | 1.44             | 9.4              | Suitable   | Decent swell period (11s)                  |
| 05:00       | 1.44             | 9.9              | Suitable   | Decent swell period (11s)                  |
| 06:00       | 1.44             | 9.8              | Suitable   | Decent swell period (11s)                  |
| 07:00       | 1.44             | 9.7              | Suitable   | Good swell period (18s)                    |
| 08:00       | 1.44             | 10.6             | Suitable   | Good swell period (18s)                    |
| 09:00       | 1.46             | 12.7             | Suitable   | Good swell period (18s)                    |
| 10:00       | 1.46             | 14.0             | Suitable   | Good swell period (18s)                    |
| 11:00       | 1.48             | 15.3             | Suitable   | Good swell period (18s)                    |
| 12:00       | 1.52             | 15.9             | Suitable   | Good swell period (16s)                    |
| 13:00       | 1.54             | 15.3             | Suitable   | Good swell period (16s)                    |
| 14:00       | 1.56             | 15.8             | Suitable   | Good swell period (16s)                    |
| 15:00       | 1.56             | 14.2             | Suitable   | Good swell period (16s)                    |
| 16:00       | 1.58             | 12.9             | Suitable   | Good swell period (16s)                    |
| 17:00       | 1.58             | 12.2             | Suitable   | Good swell period (16s)                    |
| 18:00       | 1.60             | 10.1             | Suitable   | Good swell period (16s)                    |
| 19:00       | 1.60             | 8.6              | Suitable   | Good swell period (16s)                    |
| 20:00       | 1.62             | 7.6              | Challenging | Short swell period (8s)                     |
| 21:00       | 1.62             | 6.0              | Challenging | Short swell period (8s)                     |
| 22:00       | 1.60             | 4.3              | Challenging | Short swell period (8s)                     |
| 23:00       | 1.58             | 3.9              | Challenging | Short swell period (8s)                     |

### Surf Windows
- **April 29, 16:00 - April 30, 19:00**: Generally suitable conditions with an average score of 52.0, peaking at 66.2.
- **April 29, 00:00 - April 29, 14:00**: Another suitable window with an average score of 46.4.

### Summary
Overall, the surf conditions at Peniche are looking promising with mostly suitable conditions and some challenging moments due to wind strength. Enjoy your surfing adventure, and stay safe!
