### Surf Session Ratings at Sagres Tonel

| Timestamp           | Rating     | Reasoning |
|---------------------|------------|-----------|
| 2026-04-26T00:00   | Suitable   | Wave height: 1.16 m, Wind speed: 4.7 kph |
| 2026-04-26T01:00   | Ideal      | Wave height: 1.16 m, Wind speed: 3.6 kph, Offshore wind |
| 2026-04-26T02:00   | Ideal      | Wave height: 1.16 m, Wind speed: 4.8 kph, Offshore wind |
| 2026-04-26T03:00   | Ideal      | Wave height: 1.16 m, Wind speed: 6.1 kph, Offshore wind |
| 2026-04-26T04:00   | Ideal      | Wave height: 1.16 m, Wind speed: 6.9 kph, Offshore wind |
| 2026-04-26T05:00   | Ideal      | Wave height: 1.18 m, Wind speed: 5.4 kph, Offshore wind |
| 2026-04-26T06:00   | Ideal      | Wave height: 1.18 m, Wind speed: 3.7 kph, Offshore wind |
| 2026-04-26T07:00   | Ideal      | Wave height: 1.20 m, Wind speed: 4.0 kph, Offshore wind |
| 2026-04-26T08:00   | Ideal      | Wave height: 1.18 m, Wind speed: 3.3 kph, Offshore wind |
| 2026-04-26T09:00   | Ideal      | Wave height: 1.18 m, Wind speed: 3.8 kph, Offshore wind |
| 2026-04-26T10:00   | Ideal      | Wave height: 1.16 m, Wind speed: 3.4 kph, Offshore wind |
| 2026-04-26T11:00   | Ideal      | Wave height: 1.16 m, Wind speed: 0.8 kph, Offshore wind |
| 2026-04-26T12:00   | Suitable   | Wave height: 1.14 m, Wind speed: 6.8 kph |
| 2026-04-26T13:00   | Suitable   | Wave height: 1.14 m, Wind speed: 8.7 kph |
| 2026-04-26T14:00   | Suitable   | Wave height: 1.14 m, Wind speed: 10.2 kph |
| 2026-04-26T15:00   | Suitable   | Wave height: 1.14 m, Wind speed: 11.2 kph |
| 2026-04-26T16:00   | Suitable   | Wave height: 1.14 m, Wind speed: 10.7 kph |
| 2026-04-26T17:00   | Suitable   | Wave height: 1.12 m, Wind speed: 12.5 kph |
| 2026-04-26T18:00   | Suitable   | Wave height: 1.08 m, Wind speed: 12.2 kph |
| 2026-04-26T19:00   | Suitable   | Wave height: 1.06 m, Wind speed: 10.4 kph |
| 2026-04-26T20:00   | Suitable   | Wave height: 1.06 m, Wind speed: 11.2 kph |
| 2026-04-26T21:00   | Suitable   | Wave height: 1.04 m, Wind speed: 9.5 kph |
| 2026-04-26T22:00   | Suitable   | Wave height: 1.04 m, Wind speed: 10.2 kph |
| 2026-04-26T23:00   | Suitable   | Wave height: 1.04 m, Wind speed: 13.2 kph |
| 2026-04-27T00:00   | Suitable   | Wave height: 1.04 m, Wind speed: 12.4 kph |
| 2026-04-27T01:00   | Suitable   | Wave height: 1.04 m, Wind speed: 6.7 kph |
