### Surf Session Ratings for Sagres Tonel (April 26 - April 30, 2026)

| Timestamp                | Rating      | Reasoning                                                                             |
|--------------------------|-------------|---------------------------------------------------------------------------------------|
| 2026-04-26T00:00        | Suitable    | Wave height 1.16 m, wind speed 4.7 kph (offshore).                                   |
| 2026-04-26T01:00        | Ideal       | Wave height 1.16 m, wind speed 3.6 kph (offshore).                                   |
| 2026-04-26T02:00        | Ideal       | Wave height 1.16 m, wind speed 4.8 kph (offshore).                                   |
| 2026-04-26T03:00        | Ideal       | Wave height 1.16 m, wind speed 6.1 kph (offshore).                                   |
| 2026-04-26T04:00        | Ideal       | Wave height 1.16 m, wind speed 6.9 kph (offshore).                                   |
| 2026-04-26T05:00        | Ideal       | Wave height 1.18 m, wind speed 5.4 kph (offshore).                                   |
| 2026-04-26T06:00        | Ideal       | Wave height 1.18 m, wind speed 3.7 kph (offshore).                                   |
| 2026-04-26T07:00        | Ideal       | Wave height 1.20 m, wind speed 4.0 kph (offshore).                                   |
| 2026-04-26T08:00        | Ideal       | Wave height 1.18 m, wind speed 3.3 kph (offshore).                                   |
| 2026-04-26T09:00        | Ideal       | Wave height 1.18 m, wind speed 3.8 kph (offshore).                                   |
| 2026-04-26T10:00        | Ideal       | Wave height 1.16 m, wind speed 3.4 kph (offshore).                                   |
| 2026-04-26T11:00        | Ideal       | Wave height 1.16 m, wind speed 0.8 kph (offshore).                                   |
| 2026-04-26T12:00        | Challenging | Wave height 1.14 m, wind speed 6.8 kph (onshore).                                   |
| 2026-04-26T13:00        | Challenging | Wave height 1.14 m, wind speed 8.7 kph (onshore).                                   |
| 2026-04-26T14:00        | Challenging | Wave height 1.14 m, wind speed 10.2 kph (onshore).                                  |
| 2026-04-26T15:00        | Challenging | Wave height 1.14 m, wind speed 11.2 kph (onshore).                                  |
| 2026-04-26T16:00        | Challenging | Wave height 1.14 m, wind speed 10.7 kph (onshore).                                  |
| 2026-04-26T17:00        | Challenging | Wave height 1.12 m, wind speed 12.5 kph (onshore).                                  |
| 2026-04-26T18:00        | Challenging | Wave height 1.08 m, wind speed 12.2 kph (onshore).                                  |
| 2026-04-26T19:00        | Challenging | Wave height 1.06 m, wind speed 10.4 kph (onshore).                                  |
| 2026-04-26T20:00        | Challenging | Wave height 1.06 m, wind speed 11.2 kph (onshore).                                  |
| 2026-04-26T21:00        | Challenging | Wave height 1.04 m, wind speed 9.5 kph (onshore).                                   |
| 2026-04-26T22:00        | Challenging | Wave height 1.04 m, wind speed 10.2 kph (onshore).                                  |
| 2026-04-26T23:00        | Challenging | Wave height 1.04 m, wind speed 13.2 kph (onshore).                                  |
| 2026-04-27T00:00        | Challenging | Wave height 1.04 m, wind speed 12.4 kph (onshore).                                  |
