### Surf Session Ratings at Sagres Tonel (April 26-30, 2026)

| Timestamp             | Rating     | Notes                                                 |
|-----------------------|------------|-------------------------------------------------------|
| 2026-04-26T00:00     | Suitable   | Wave Height: 1.16 m, Wind Speed: 4.7 kph             |
| 2026-04-26T01:00     | Ideal      | Wave Height: 1.16 m, Wind Speed: 3.6 kph             |
| 2026-04-26T02:00     | Ideal      | Wave Height: 1.16 m, Wind Speed: 4.8 kph             |
| 2026-04-26T03:00     | Ideal      | Wave Height: 1.16 m, Wind Speed: 6.1 kph             |
| 2026-04-26T04:00     | Ideal      | Wave Height: 1.16 m, Wind Speed: 6.9 kph             |
| 2026-04-26T05:00     | Ideal      | Wave Height: 1.18 m, Wind Speed: 5.4 kph             |
| 2026-04-26T06:00     | Ideal      | Wave Height: 1.18 m, Wind Speed: 3.7 kph             |
| 2026-04-26T07:00     | Ideal      | Wave Height: 1.20 m, Wind Speed: 4.0 kph             |
| 2026-04-26T08:00     | Ideal      | Wave Height: 1.18 m, Wind Speed: 3.3 kph             |
| 2026-04-26T09:00     | Ideal      | Wave Height: 1.18 m, Wind Speed: 3.8 kph             |
| 2026-04-26T10:00     | Ideal      | Wave Height: 1.16 m, Wind Speed: 3.4 kph             |
| 2026-04-26T11:00     | Ideal      | Wave Height: 1.16 m, Wind Speed: 0.8 kph             |
| 2026-04-26T12:00     | Challenging| Wave Height: 1.14 m, Wind Speed: 6.8 kph             |
| 2026-04-26T13:00     | Challenging| Wave Height: 1.14 m, Wind Speed: 8.7 kph             |
| 2026-04-26T14:00     | Challenging| Wave Height: 1.14 m, Wind Speed: 10.2 kph            |
| 2026-04-26T15:00     | Challenging| Wave Height: 1.14 m, Wind Speed: 11.2 kph            |
| 2026-04-26T16:00     | Challenging| Wave Height: 1.14 m, Wind Speed: 10.7 kph            |
| 2026-04-26T17:00     | Challenging| Wave Height: 1.12 m, Wind Speed: 12.5 kph            |
| 2026-04-26T18:00     | Challenging| Wave Height: 1.08 m, Wind Speed: 12.2 kph            |
| 2026-04-26T19:00     | Challenging| Wave Height: 1.06 m, Wind Speed: 10.4 kph            |
| 2026-04-26T20:00     | Challenging| Wave Height: 1.06 m, Wind Speed: 11.2 kph            |
| 2026-04-26T21:00     | Challenging| Wave Height: 1.04 m, Wind Speed: 9.5 kph             |
| 2026-04-26T22:00     | Challenging| Wave Height: 1.04 m, Wind Speed: 10.2 kph            |
| 2026-04-26T23:00     | Challenging| Wave Height: 1.04 m, Wind Speed: 13.2 kph            |
| 2026-04-27T00:00     | Challenging| Wave Height: 1.04 m, Wind Speed: 12.4 kph            |
| 2026-04-27T01:00     | Challenging| Wave Height: 1.04 m, Wind Speed: 6.7 kph             |
