### Surf Session Ratings

| Timestamp            | Wave Height (m) | Wind Speed (kph) | Rating      |
|----------------------|------------------|-------------------|-------------|
| 2026-04-26T00:00     | 1.16             | 4.7               | Ideal       |
| 2026-04-26T01:00     | 1.16             | 3.6               | Ideal       |
| 2026-04-26T02:00     | 1.16             | 4.8               | Ideal       |
| 2026-04-26T03:00     | 1.16             | 6.1               | Ideal       |
| 2026-04-26T04:00     | 1.16             | 6.9               | Ideal       |
| 2026-04-26T05:00     | 1.18             | 5.4               | Ideal       |
| 2026-04-26T06:00     | 1.18             | 3.7               | Ideal       |
| 2026-04-26T07:00     | 1.20             | 4.0               | Ideal       |
| 2026-04-26T08:00     | 1.18             | 3.3               | Ideal       |
| 2026-04-26T09:00     | 1.18             | 3.8               | Ideal       |
| 2026-04-26T10:00     | 1.16             | 3.4               | Ideal       |
| 2026-04-26T11:00     | 1.16             | 0.8               | Ideal       |
| 2026-04-26T12:00     | 1.14             | 6.8               | Suitable    |
| 2026-04-26T13:00     | 1.14             | 8.7               | Suitable    |
| 2026-04-26T14:00     | 1.14             | 10.2              | Suitable    |
| 2026-04-26T15:00     | 1.14             | 11.2              | Suitable    |
| 2026-04-26T16:00     | 1.14             | 10.7              | Suitable    |
| 2026-04-26T17:00     | 1.12             | 12.5              | Suitable    |
| 2026-04-26T18:00     | 1.08             | 12.2              | Suitable    |
| 2026-04-26T19:00     | 1.06             | 10.4              | Suitable    |
| 2026-04-26T20:00     | 1.06             | 11.2              | Suitable    |
| 2026-04-26T21:00     | 1.04             | 9.5               | Suitable    |
| 2026-04-26T22:00     | 1.04             | 10.2              | Suitable    |
| 2026-04-26T23:00     | 1.04             | 13.2              | Suitable    |
| 2026-04-27T00:00     | 1.04             | 12.4              | Suitable    |
| 2026-04-27T01:00     | 1.04             | 6.7               | Ideal       |
| 2026-04-27T02:00     | 1.06             | 4.0               | Ideal       |
| 2026-04-27T03:00     | 1.06             | 4.7               | Ideal       |
| 2026-04-27T04:00     | 1.08             | 5.7               | Ideal       |
| 2026-04-27T05:00     | 1.12             | 5.6               | Ideal       |
| 2026-04-27T06:00     | 1.14             | 4.0               | Ideal       |
| 2026-04-27T07:00     | 1.18             | 3.8               | Ideal       |
| 2026-04-27T08:00     | 1.22             | 3.8               | Suitable    |
| 2026-04-27T09:00     | 1.24             | 4.4               | Suitable    |
| 2026-04-27T10:00     | 1.28             | 7.6               | Suitable    |
| 2026-04-27T11:00     | 1.32             | 8.9               | Suitable    |
| 2026-04-27T12:00     | 1.34             | 6.1               | Suitable    |
| 2026-04-27T13:00     | 1.38             | 5.4               | Suitable    |
| 2026-04-27T14:00     | 1.38             | 8.7               | Suitable    |
| 2026-04-27T15:00     | 1.38             | 8.4               | Suitable    |
| 2026-04-27T16:00     | 1.38             | 4.3               | Suitable    |
| 2026-04-27T17:00     | 1.36             | 5.4               | Suitable    |
| 2026-04-27T18:00     | 1.32             | 7.8               | Suitable    |
| 2026-04-27T19:00     | 1.30             | 8.2               | Suitable    |
| 2026-04-27T20:00     | 1.30             | 8.7               | Suitable    |
| 2026-04-27T21:00     | 1.28             | 7.6               | Suitable    |
