### Surf Session Ratings for Sagres Tonel (April 26-30, 2026)

| Timestamp        | Wave Height (m) | Wind Speed (kph) | Rating      | Comments                                                                 |
|------------------|------------------|-------------------|-------------|--------------------------------------------------------------------------|
| 2026-04-26T00:00 | 1.16             | 4.7               | Ideal       | Good wave height and low wind speed.                                   |
| 2026-04-26T01:00 | 1.16             | 3.6               | Ideal       | Low wind speed, offshore conditions.                                   |
| 2026-04-26T02:00 | 1.16             | 4.8               | Ideal       | Offshore wind, favorable wave conditions.                              |
| 2026-04-26T03:00 | 1.16             | 6.1               | Ideal       | Offshore wind continues, good conditions.                              |
| 2026-04-26T04:00 | 1.16             | 6.9               | Ideal       | Consistent conditions for surfing.                                     |
| 2026-04-26T05:00 | 1.18             | 5.4               | Ideal       | Ideal conditions with slight increase in wave height.                  |
| 2026-04-26T06:00 | 1.18             | 3.7               | Ideal       | Perfect offshore winds.                                                |
| 2026-04-26T07:00 | 1.20             | 4.0               | Ideal       | Great morning conditions to surf.                                      |
| 2026-04-26T08:00 | 1.18             | 3.3               | Ideal       | Offshore winds and manageable waves.                                   |
| 2026-04-26T09:00 | 1.18             | 3.8               | Ideal       | Good wave height and calm winds.                                       |
| 2026-04-26T10:00 | 1.16             | 3.4               | Ideal       | Consistent conditions.                                                 |
| 2026-04-26T11:00 | 1.16             | 0.8               | Ideal       | Very low wind, perfect for surfing.                                    |
| 2026-04-26T12:00 | 1.14             | 6.8               | Suitable    | Slightly choppy conditions due to wind.                                |
| 2026-04-26T13:00 | 1.14             | 8.7               | Suitable    | Winds picking up, but still manageable.                                 |
| 2026-04-26T14:00 | 1.14             | 10.2              | Suitable    | Conditions becoming more challenging.                                   |
| 2026-04-26T15:00 | 1.14             | 11.2              | Challenging | Higher wind speeds affecting wave quality.                              |
| 2026-04-26T16:00 | 1.14             | 10.7              | Challenging | Windy conditions may affect performance.                                |
| 2026-04-26T17:00 | 1.12             | 12.5              | Challenging | Winds remain high, wave conditions challenging.                         |
| 2026-04-26T18:00 | 1.08             | 12.2              | Challenging | Continued high winds affecting surfability.                             |
| 2026-04-26T19:00 | 1.06             | 10.4              | Challenging | Wind remains a factor; conditions not ideal.                           |
| 2026-04-26T20:00 | 1.06             | 11.2              | Challenging | High wind speeds making it more difficult.                             |
| 2026-04-26T21:00 | 1.04             | 9.5               | Challenging | Wind still impacting surf conditions.                                   |
| 2026-04-26T22:00 | 1.04             | 10.2              | Challenging | Wind continues to be a factor.                                         |
| 2026-04-26T23:00 | 1.04             | 13.2              | Challenging | High winds make conditions unsafe.                                      |
| 2026-04-27T00:00 | 1.04             | 12.4              | Challenging | Wind conditions remain high.                                           |
| 2026-04-27T01:00 | 1.04             | 6.7               | Suitable    | Offshore conditions, but wave height is manageable.                    |
| 2026-04-27T02:00 | 1.06             | 4.0               | Ideal       | Good conditions for surfing.                                           |
| 2026-04-27T03:00 | 1.06             | 4.7               | Ideal       | Consistent favorable conditions.                                       |
| 2026-04-27T04:00 | 1.08             | 5.7               | Ideal       | Slight increase in wave height, still manageable.                     |
| 2026-04-27T05:00 | 1.12             | 5.6               | Ideal       | Great conditions for an early session.                                 |
| 2026-04-27T06:00 | 1.14             | 4.0               | Ideal       | Offshore winds and good wave height.                                   |
| 2026-04-27T07:00 | 1.18             | 3.8               | Ideal       | Perfect for morning surfing.                                           |
| 2026-04-27T08:00 | 1.22             | 3.8               | Suitable    | Good conditions but slightly higher winds.                             |
| 2026-04-27T09:00 | 1.24             | 4.4               | Suitable    | Manageable conditions for advanced surfers.                            |
| 2026-04-27T10:00 | 1.28             | 7.6               | Suitable    | Higher winds but still surfable.                                       |
| 2026-04-27T11:00 | 1.32             | 8.9               | Suitable    | Conditions becoming more challenging.                                   |
| 2026-04-27T12:00 | 1.34             | 6.1               | Suitable    | Good wave height, manageable winds.                                    |
| 2026-04-27T13:00 | 1.38             | 5.4               | Ideal       | Excellent conditions for surfing.                                       |
| 2026-04-27T14:00 | 1.38             | 8.7               | Suitable    | Higher wind, but wave height remains good.                             |
